! VOLCANO_NAMES.TBL
!
! This table contains the locations of volcanoes.
!
! The format for the file is given below, with the number of characters in
! parentheses.
!
! Log:
! G. Krueger/EAI         1/00   Generated original
! A. Hardy/NCEP          6/03   Fixed the spelling for TUNGURAHUA
! R. Tian/SAIC           7/03   Recreated from $GEMPAK/data/tables/volcano_smithsonian.orig.tbl
! B. Hughes/SAB          2/04   Changed Smithsonian Number to Volcano Names for Map (D. Plummer)
! S. Guan/NCEP           1/17   Updated LAT, LON. and ELV from http://volcano.si.edu/projects/vaac-data/
! B. Hebbard/NCEP        2/23   Updated to include all SI GVP volcanoes with Last Known Eruption in CE
!
!-------------------------------------------------------------------
!
!STID    STNM   NAME                             ST CO   LAT    LON  ELV PRI LOCATION
!(8)     (6)    (32)                            (2)(2)   (5)    (6)   (5)(2) (20)
!
Bayonnai 999999 Bayonnaise_Rocks                 -- --  3189  13992    11  0 Izu.Is-Japan
Bayuda_V 999999 Bayuda_Volcanic_Field            -- --  1833   3275   670  0 Sudan
Belknap  999999 Belknap                          -- --  4428 -12184  2095  0 US-Oregon
Bezymian 999999 Bezymianny                       -- --  5597  16060  2882  0 Kamchatka
Biliran  999999 Biliran                          -- --  1152  12454  1301  0 Philippines-C
Billy_Mi 999999 Billy_Mitchell                   -- --  -609  15522  1544  0 Bougainville-SW.Paci
Black_Ro 999999 Black_Rock_Desert                -- --  3897 -11250  1800  0 Utah-US
Blue_Lak 999999 Blue_Lake_Crater                 -- --  4441 -12177  1230  0 US-Oregon
Bogoslof 999999 Bogoslof                         -- --  5393 -16803   150  0 Aleutians
Boomeran 999999 Boomerang_Seamount               -- -- -3772   7782  -650  0 France-S.I.Ocean
Bravo,_C 999999 Bravo,_Cerro                     -- --   509  -7529  3985  0 Colombia
Brennist 999999 Brennisteinsfjoll                -- --  6393  -2178   610  0 Iceland-SW
Bristol_ 999999 Bristol_Island                   -- -- -5902  -2653  1100  0 Antarctica
Buckle_I 999999 Buckle_Island                    -- -- -6678  16325  1239  0 Antarctica
Bulusan  999999 Bulusan                          -- --  1277  12406  1535  0 Luzon-Philippines
Burney,_ 999999 Burney,_Monte                    -- -- -5233  -7340  1758  0 Chile-S
Cabalían 999999 Cabalían                         -- --  1028  12522   912  0 Philippines-C
Cagua    999999 Cagua                            -- --  1822  12212  1133  0 Luzon-Philippines
Calbuco  999999 Calbuco                          -- -- -4133  -7262  1974  0 Chile-S
Callaqui 999999 Callaqui                         -- -- -3792  -7145  3164  0 Chile-C
Cameroon 999999 Cameroon,_Mt.                    -- --   420    917  4095  0 Africa-W
Camiguin 999999 Camiguin                         -- --   920  12467  1552  0 Mindanao-Philippines
Camiguin 999999 Camiguin_de_Babuyanes            -- --  1883  12186   712  0 Luzon
Campi_Fl 999999 Campi_Flegrei                    -- --  4083   1414   458  0 Italy
Campi_Fl 999999 Campi_Flegrei_del_Mar_di_Sicilia -- --  3710   1270    -8  0 Italy
Candlema 999999 Candlemas_Island                 -- -- -5708  -2667   550  0 Antarctica
Canlaon  999999 Canlaon                          -- --  1041  12313  2435  0 Philippines-C
Carlisle 999999 Carlisle                         -- --  5289 -17005  1620  0 Aleutian.Is
Carran-L 999999 Carran-Los_Venados               -- -- -4035  -7207  1114  0 Chile-C
Cayambe  999999 Cayambe                          -- --     3  -7799  5790  0 Ecuador
Ceboruco 999999 Ceboruco                         -- --  2112 -10451  2280  0 Mexico-Is
Cendres, 999999 Cendres,_Ile_des                 -- --  1016  10901   -20  0 SE.Asia
Cereme   999999 Cereme                           -- --  -690  10841  3039  0 Java
Chacana  999999 Chacana                          -- --   -38  -7825  4643  0 Ecuador
Chaiten  999999 Chaiten                          -- -- -4283  -7265  1122  0 Chile-S
Changbai 999999 Changbaishan                     -- --  4198  12808  2744  0 China-N.Korea
Chichina 999999 Chichinautzin                    -- --  1908  -9913  3930  0 Mexico-Is
Chichon, 999999 Chichon,_El                      -- --  1736  -9323  1150  0 Mexico
Chiginag 999999 Chiginagak                       -- --  5714 -15699  2221  0 Alaska
Chikurac 999999 Chikurachki                      -- --  5032  15546  1781  0 Kuril.Is
Chiles-C 999999 Chiles-Cerro_Negro               -- --    82  -7794  4698  0 Colombia-Ecuador
Chillan, 999999 Chillan,_Nevados_de              -- -- -3687  -7138  3180  0 Chile-C
Chimbora 999999 Chimborazo                       -- --  -147  -7882  6261  0 Ecuador
Chirinko 999999 Chirinkotan                      -- --  4898  15348   724  0 Kuril.Is
Chirippu 999999 Chirippusan_[Chirip]             -- --  4534  14792  1587  0 Kuril.Is
Chirpoi  999999 Chirpoi                          -- --  4653  15087   742  0 Kuril.Is
Chokai   999999 Chokai                           -- --  3910  14005  2236  0 Honshu-Japan
Churchil 999999 Churchill                        -- --  6138 -14175  5005  0 Alaska-E
Chyulu_H 999999 Chyulu_Hills                     -- --  -268   3788  2188  0 Africa-E
Cleft_Se 999999 Cleft_Segment                    -- --  4483 -13030 -2140  0 Pacific-NE
Clevelan 999999 Cleveland                        -- --  5282 -16994  1730  0 Aleutian_Is
CoAxial_ 999999 CoAxial_Segment                  -- --  4652 -12958 -2400  0 Pacific-NE
Cofre_de 999999 Cofre_de_Perote                  -- --  1949  -9715  4282  0 Mexico-Is
Colima   999999 Colima                           -- --  1951 -10362  3850  0 Mexico
Colo_[Un 999999 Colo_[Una_Una]                   -- --   -16  12160   404  0 Sulawesi-Indonesia
Concepci 999999 Concepcion                       -- --  1154  -8562  1700  0 Nicaragua
Copahue  999999 Copahue                          -- -- -3786  -7118  2953  0 Chile-C
Cosiguin 999999 Cosiguina                        -- --  1298  -8757   872  0 Nicaragua
Cotopaxi 999999 Cotopaxi                         -- --   -68  -7844  5911  0 Ecuador
Cuicocha 999999 Cuicocha                         -- --    31  -7836  3246  0 Ecuador
Cumbal   999999 Cumbal                           -- --    95  -7787  4764  0 Colombia
Curacoa  999999 Curacoa                          -- -- -1562 -17367   -33  0 Tonga-SW.Pacific
Dabbahu  999999 Dabbahu                          -- --  1260   4048  1401  0 Ethiopia
Dakataua 999999 Dakataua                         -- --  -509  15009   408  0 New.Britain-SW.Pac
Dallol   999999 Dallol                           -- --  1424   4030   -48  0 Ethiopia
Dama_Ali 999999 Dama_Ali                         -- --  1128   4163  1068  0 Ethiopia
Darwin   999999 Darwin                           -- --   -18  -9128  1330  0 Galapagos
Dawson_S 999999 Dawson_Strait_Group              -- --  -962  15088   500  0 New.Guinea
Deceptio 999999 Deception_Island                 -- -- -6300  -6065   602  0 Antarctica
Dempo    999999 Dempo                            -- --  -402  10312  3142  0 Sumatra
Descabez 999999 Descabezado_Grande               -- -- -3558  -7075  3953  0 Chile-C
Didicas  999999 Didicas                          -- --  1908  12220   228  0 Luzon
Dieng_Vo 999999 Dieng_Volc_Complex               -- --  -720  10988  2565  0 Java
Diky_Gre 999999 Diky_Greben                      -- --  5145  15698  1040  0 Kamchatka
Don_Joao 999999 Don_Joao_de_Castro_Bank          -- --  3823  -2663   -13  0 Azores
Dona_Jua 999999 Dona_Juana                       -- --   150  -7694  4137  0 Colombia
Dubbi    999999 Dubbi                            -- --  1358   4181  1625  0 Eritrea
Dukono   999999 Dukono                           -- --   169  12789  1229  0 Halmahera-Indonesia
East_Gak 999999 East_Gakkel_Ridge_at_85°E        -- --  8561   8525 -3800  0 Undersea-Arctic
Eastern_ 999999 Eastern_Gemini_Seamount          -- -- -2098  17028   -80  0 SW.Pacific
Ebeko    999999 Ebeko                            -- --  5069  15601  1103  0 Kuril.Is
Ebulobo  999999 Ebulobo                          -- --  -882  12119  2096  0 Lesser.Sunda.Is
Ecuador  999999 Ecuador                          -- --    -2  -9155   790  0 Galapagos
Edziza   999999 Edziza                           -- --  5772 -13063  2786  0 Canada
Egon     999999 Egon                             -- --  -868  12246  1661  0 Lesser.Sunda.Is
Ekarma   999999 Ekarma                           -- --  4896  15393  1170  0 Kuril.Is
Elbrus   999999 Elbrus                           -- --  4335   4244  5642  0 Russia
Eldey    999999 Eldey                            -- --  6373  -2300    70  0 Iceland-NE
Emuruang 999999 Emuruangogolak                   -- --   150   3633  1285  0 Africa-E
Epi      999999 Epi                              -- -- -1668  16837   833  0 Vanuatu-SW.Pacific
Erebus   999999 Erebus                           -- -- -7753  16717  3794  0 Antarctica
Erta_Ale 999999 Erta_Ale                         -- --  1360   4067   613  0 Ethiopia
Esan     999999 Esan                             -- --  4180  14117   618  0 Hokkaido-Japan
Etna     999999 Etna                             -- --  3775   1500  3357  0 Italy
Eyjafjol 999999 Eyjafjoll                        -- --  6363  -1963  1651  0 Iceland-S
Fagradal 999999 Fagradalsfjall                   -- --  6390  -2226   250  0 Iceland-SW
Falcon_I 999999 Falcon_Island                    -- -- -2032 -17542   -17  0 Tonga-SW.Pacific
Farallon 999999 Farallon_de_Pajaros              -- --  2055  14489   337  0 Mariana.Is-C.Pacific
Fayal    999999 Fayal                            -- --  3858  -2871  1041  0 Azores
Fentale  999999 Fentale                          -- --   898   3993  2007  0 Ethiopia
Fernandi 999999 Fernandina                       -- --   -37  -9155  1476  0 Galapagos
Fisher   999999 Fisher                           -- --  5465 -16443  1112  0 Aleutian.Is
Fogo     999999 Fogo                             -- --  1495  -2435  2829  0 Cape.Verde.Is
Fonualei 999999 Fonualei                         -- -- -1802 -17432   188  0 Tonga-SW.Pacific
Fournais 999999 Fournaise,_Piton_de_la           -- -- -2124   5571  2632  0 Indian.O-W
Fourpeak 999999 Fourpeaked_Volcano               -- --  5877 -15367  2105  0 Alaska.Peninsula
Fuego    999999 Fuego                            -- --  1447  -9088  3763  0 Guatemala
Fueguino 999999 Fueguino                         -- -- -5497  -7026   157  0 Chile-S
Fujisan  999999 Fujisan                          -- --  3536  13873  3776  0 Honshu-Japan
Fukujin  999999 Fukujin                          -- --  2193  14347  -217  0 Volcano.Is-Japan
Fukutoku 999999 Fukutoku-okanoba                 -- --  2428  14148   -29  0 Volcano.Is-Japan
Furnas   999999 Furnas                           -- --  3777  -2532   805  0 Azores
Fuss_Pea 999999 Fuss_Peak                        -- --  5027  15525  1742  0 Kuril.Is
Galapago 999999 Galapagos_Rift                   -- --    79  -8615 -2430  0 Undersea-Pacific-E
Galeras  999999 Galeras                          -- --   122  -7737  4276  0 Colombia
Galunggu 999999 Galunggung                       -- --  -725  10806  2168  0 Java
Gamalama 999999 Gamalama                         -- --    80  12733  1715  0 Halmahera-Indonesia
Gamkonor 999999 Gamkonora                        -- --   138  12753  1635  0 Halmahera-Indonesia
Gareloi  999999 Gareloi                          -- --  5179 -17879  1573  0 Aleutian.Is
Gaua     999999 Gaua                             -- -- -1428  16751   729  0 Vanuatu-SW.Pacific
Gede     999999 Gede                             -- --  -679  10698  3026  0 Java
Glacier_ 999999 Glacier_Peak                     -- --  4811 -12111  3213  0 US-Washington
Gorely   999999 Gorely                           -- --  5256  15803  1799  0 Kamchatka
Gorny_In 999999 Gorny_Institute                  -- --  5733  16020  2125  0 Kamchatka
Gran_Can 999999 Gran_Canaria                     -- --  2800  -1558  1950  0 Canary.Is
Great_Si 999999 Great_Sitkin                     -- --  5208 -17613  1740  0 Aleutian.Is
Grimsvot 999999 Grimsvotn                        -- --  6442  -1732  1719  0 Iceland-NE
