PHZ113 Kauai_Channel
GMZ570 Coastal_waters_from_Port_Fourchon_Louisiana_to_Lower_Atchafalaya_River_LA_from_20_to_60_NM
GMZ375 Waters_from_High_Island_to_Freeport_TX_from_20_to_60_NM
GMZ470 Waters_from_Cameron_LA_to_High_Island_TX_from_20_to_60_NM
GMZ577 Coastal_waters_from_Pascagoula_Mississippi_to_Stake_Island_Louisiana_out_20_to_60_NM
GMZ572 Coastal_waters_from_Southwest_Pass_of_the_Mississippi_River_to_Port_Fourchon_Louisiana_from_20_to_60_NM
LOZ030 Lower_Niagara_River
GMZ335 Galveston_Bay
GMZ435 Vermilion_Bay
ANZ237 Block_Island_Sound
ANZ234 Buzzards_Bay
AMZ330 Charleston_Harbor
GMZ034 Gulf_of_Mexico_including_Dry_Tortugas_and_Rebecca_Shoal_Channel
AMZ630 Biscayne_Bay
ANZ543 Tangier_Sound_and_the_inland_waters_surrounding_Bloodsworth_Island
ANZ230 Boston_Harbor
LSZ144 Two_Harbors_to_Duluth_MN
LSZ145 Duluth_MN_to_Port_Wing_WI
LSZ143 Silver_Bay_Harbor_to_Two_Harbors_MN
LSZ142 Taconite_Harbor_to_Silver_Bay_Harbor_MN
LSZ141 Grand_Marais_to_Taconite_Harbor_MN
LSZ140 Grand_Portage_to_Grand_Marais_MN
LSZ146 Port_Wing_to_Sand_Island_WI
LSZ147 Sand_Island_to_Bayfield_WI
LSZ121 Chequamegon_Bay-Bayfield_to_Oak_Point_WI
LSZ148 Oak_Point_to_Saxon_Harbor_WI
LSZ162 Lake_Superior_west_of_a_line_from_Saxon_Harbor_WI_to_Grand_Portage_MN_beyond_5NM
LSZ240 Saxon_Harbor_WI_to_Black_River_MI
LSZ241 Black_River_To_Ontonagon_MI
PZZ570 Waters_from_Point_Arena_to_Point_Reyes_10-60_NM
PZZ475 Waters_from_Cape_Mendocino_to_Pt._Arena_CA_from_10_to_60_nm
PZZ450 Coastal_waters_from_Pt._St._George_to_Cape_Mendocino_CA_out_10_nm
PZZ415 Humboldt_Bay
PZZ470 Waters_from_Pt._St._George_to_Cape_Mendocino_CA_from_10_to_60_nm
PZZ376 Waters_from_Cape_Blanco_OR_to_Pt._St._George_CA_from_10_to_60_nm
PZZ370 Waters_from_Florence_to_Cape_Blanco_OR_from_10_to_60_nm
PZZ255 Coastal_waters_from_Cascade_Head_to_Florence_OR_out_10_nm
PZZ275 Waters_from_Cascade_Head_to_Florence_OR_from_10_to_60_nm
PZZ270 Waters_from_Cape_Shoalwater_WA_to_Cascade_Head_OR_from_10_to_60_nm
PZZ176 Coastal_Waters_From_Point_Grenville_To_Cape_Shoalwater_10_To_60_Nm
PZZ173 Waters_From_James_Island_To_Point_Grenville_10_To_60_Nm
PZZ210 Columbia_River_Bar
PZZ350 Coastal_waters_from_Florence_to_Cape_Blanco_OR_out_10_nm
PZZ545 Coastal_Waters_from_Point_Reyes_to_Pigeon_Point_California_out_to_10_nm
PZZ540 Coastal_Waters_from_Point_Arena_to_Point_Reyes_California_out_to_10_nm
PZZ455 Coastal_waters_from_Cape_Mendocino_to_Pt._Arena_CA_out_10_nm
PZZ170 Coastal_Waters_From_Cape_Flattery_To_James_Island_10_To_60_Nm
PZZ130 West_Entrance_U.S._Waters_Strait_Of_Juan_De_Fuca
PZZ131 Central_U.S._Waters_Strait_Of_Juan_De_Fuca
PZZ135 Puget_Sound_and_Hood_Canal
PZZ250 Coastal_waters_from_Cape_Shoalwater_WA_to_Cascade_Head_OR_out_10_nm
PZZ156 Coastal_Waters_From_Point_Grenville_To_Cape_Shoalwater_Out_10_Nm
PZZ150 Coastal_Waters_From_Cape_Flattery_To_James_Island_Out_10_Nm
LSZ245 Manitou_Island_to_Point_Isabelle_MI
LSZ246 Point_Isabelle_to_Lower_Entrance_of_Portage_Canal_MI
