MAZ020   210200 Southern_Bristol                 MA US  4167  -7104     0  0 BOX
MAZ006   210060 Western_Essex                    MA US  4272  -7107     0  0 BOX
MAZ015   210150 Suffolk                          MA US  4233  -7108     0  0 BOX
MAZ014   210140 Southeast_Middlesex              MA US  4242  -7116     0  0 BOX
NHZ013   290130 Interior_Rockingham              NH US  4299  -7118     0  0 GYX
NHZ004   290040 Northern_Carroll                 NH US  4408  -7118     0  0 GYX
MAZ017   210170 Northern_Bristol                 MA US  4192  -7118     0  0 BOX
NHZ006   290060 Southern_Carroll                 NH US  4375  -7122     0  0 GYX
RIZ007   390070 Newport                          RI US  4156  -7124     0  0 BOX
MAZ013   210130 Western_Norfolk                  MA US  4214  -7127     0  0 BOX
RIZ005   390050 Bristol                          RI US  4172  -7128     0  0 BOX
NHZ001   290010 Northern_Coos                    NH US  4498  -7128     0  0 GYX
NHZ002   290020 Southern_Coos                    NH US  4447  -7132     0  0 GYX
MAZ005   210050 Central_Middlesex_County         MA US  4246  -7138     0  0 BOX
NHZ009   290090 Belknap                          NH US  4352  -7142     0  0 GYX
RIZ002   390020 Southeast_Providence             RI US  4181  -7145     0  0 BOX
RIZ004   390040 Eastern_Kent                     RI US  4169  -7146     0  0 BOX
NHZ012   290120 Eastern_Hillsborough             NH US  4284  -7146     0  0 GYX
RIZ008   390080 Block_Island                     RI US  4118  -7158     0  0 BOX
RIZ006   390060 Washington                       RI US  4148  -7162     0  0 BOX
RIZ001   390010 Northwest_Providence             RI US  4189  -7162     0  0 BOX
RIZ003   390030 Western_Kent                     RI US  4166  -7166     0  0 BOX
MAZ026   210260 Northwest_Middlesex_County       MA US  4264  -7166     0  0 BOX
NHZ008   290080 Merrimack                        NH US  4330  -7168     0  0 GYX
VTZ004   450040 Essex                            VT US  4473  -7174     0  0 BTV
NHZ003   290030 Northern_Grafton                 NH US  4410  -7175     0  0 GYX
MAZ012   210120 Southern_Worcester               MA US  4215  -7177     0  0 BOX
NHZ015   290150 Wrn_And_Central_Hillsborough     NH US  4294  -7179     0  0 GYX
NHZ005   290050 Southern_Grafton                 NH US  4372  -7192     0  0 GYX
MAZ004   210040 Northern_Worcester               MA US  4245  -7198     0  0 BOX
CTZ004    70040 Windham                          CT US  4183  -7199     0  0 BOX
VTZ007   450070 Caledonia                        VT US  4446  -7210     0  0 BTV
CTZ012    70120 Southern_New_London              CT US  4136  -7210     0  0 OKX
CTZ008    70080 Northern_New_London              CT US  4153  -7210     0  0 OKX
NHZ007   290070 Sullivan                         NH US  4336  -7222     0  0 GYX
VTZ003   450030 Orleans                          VT US  4483  -7224     0  0 BTV
NHZ011   290110 Cheshire                         NH US  4292  -7225     0  0 GYX
