! SNAP.TBL
!
! This table contains aviation VOR points and all VOR-relative points.
! VOR-relative points, or 'snapable' points are all points relative to
! individual VOR points located on a 16 point compass in 10nm intervals.
!
! The format for the file is given below, with the number of characters in
! parentheses.
!
!!
! Log:
! J. Wu/SAIC	        01/05   Created table
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!
!STID    STNM   NAME                            ST CO   LAT    LON   ELV  PRI
!(8)     (6)    (32)                            (2)(2)  (5)    (6)   (5)  (2)
YSJ00085      9 180E_YSJ                         -  -   4524  -6162     0  2
YSJ00086      9 190E_YSJ                         -  -   4523  -6138     0  2
YSJ00087      9 200E_YSJ                         -  -   4522  -6115     0  2
YSJ00088      9 210E_YSJ                         -  -   4521  -6091     0  2
YSJ00089      9 220E_YSJ                         -  -   4520  -6068     0  2
YSJ00090      9 230E_YSJ                         -  -   4519  -6044     0  2
YSJ00091      9 240E_YSJ                         -  -   4518  -6020     0  2
YSJ00092      9 250E_YSJ                         -  -   4517  -5997     0  2
YSJ00093      9 20ESE_YSJ                        -  -   4519  -6544     0  2
YSJ00094      9 30ESE_YSJ                        -  -   4513  -6523     0  2
YSJ00095      9 40ESE_YSJ                        -  -   4506  -6501     0  2
YSJ00096      9 50ESE_YSJ                        -  -   4500  -6479     0  2
YSJ00097      9 60ESE_YSJ                        -  -   4493  -6458     0  2
YSJ00098      9 70ESE_YSJ                        -  -   4486  -6436     0  2
YSJ00099      9 80ESE_YSJ                        -  -   4480  -6415     0  2
YSJ00100      9 90ESE_YSJ                        -  -   4473  -6393     0  2
YSJ00101      9 100ESE_YSJ                       -  -   4466  -6372     0  2
YSJ00102      9 110ESE_YSJ                       -  -   4459  -6350     0  2
YSJ00103      9 120ESE_YSJ                       -  -   4453  -6329     0  2
YSJ00104      9 130ESE_YSJ                       -  -   4446  -6308     0  2
YSJ00105      9 140ESE_YSJ                       -  -   4439  -6286     0  2
YSJ00106      9 150ESE_YSJ                       -  -   4432  -6265     0  2
YSJ00107      9 160ESE_YSJ                       -  -   4425  -6244     0  2
YSJ00108      9 170ESE_YSJ                       -  -   4418  -6223     0  2
YSJ00109      9 180ESE_YSJ                       -  -   4411  -6202     0  2
YSJ00110      9 190ESE_YSJ                       -  -   4404  -6181     0  2
YSJ00111      9 200ESE_YSJ                       -  -   4396  -6160     0  2
YSJ00112      9 210ESE_YSJ                       -  -   4389  -6139     0  2
YSJ00113      9 220ESE_YSJ                       -  -   4382  -6119     0  2
YSJ00114      9 230ESE_YSJ                       -  -   4375  -6098     0  2
YSJ00115      9 240ESE_YSJ                       -  -   4367  -6077     0  2
YSJ00116      9 20SE_YSJ                         -  -   4508  -6555     0  2
YSJ00117      9 30SE_YSJ                         -  -   4497  -6538     0  2
YSJ00118      9 40SE_YSJ                         -  -   4485  -6522     0  2
YSJ00119      9 50SE_YSJ                         -  -   4473  -6505     0  2
YSJ00120      9 60SE_YSJ                         -  -   4461  -6489     0  2
YSJ00121      9 70SE_YSJ                         -  -   4449  -6472     0  2
YSJ00122      9 80SE_YSJ                         -  -   4437  -6456     0  2
YSJ00123      9 90SE_YSJ                         -  -   4425  -6440     0  2
YSJ00124      9 100SE_YSJ                        -  -   4413  -6424     0  2
YSJ00125      9 110SE_YSJ                        -  -   4401  -6408     0  2
YSJ00126      9 120SE_YSJ                        -  -   4389  -6392     0  2
YSJ00127      9 130SE_YSJ                        -  -   4377  -6376     0  2
YSJ00128      9 140SE_YSJ                        -  -   4365  -6360     0  2
YSJ00129      9 150SE_YSJ                        -  -   4353  -6344     0  2
YSJ00130      9 160SE_YSJ                        -  -   4341  -6329     0  2
YSJ00131      9 170SE_YSJ                        -  -   4328  -6313     0  2
YSJ00132      9 180SE_YSJ                        -  -   4316  -6297     0  2
YSJ00133      9 190SE_YSJ                        -  -   4304  -6282     0  2
YSJ00134      9 200SE_YSJ                        -  -   4292  -6266     0  2
YSJ00135      9 210SE_YSJ                        -  -   4280  -6251     0  2
YSJ00136      9 220SE_YSJ                        -  -   4267  -6236     0  2
YSJ00137      9 230SE_YSJ                        -  -   4255  -6220     0  2
YSJ00138      9 240SE_YSJ                        -  -   4243  -6205     0  2
YSJ00139      9 250SE_YSJ                        -  -   4230  -6190     0  2
YSJ00140      9 20SSE_YSJ                        -  -   4501  -6570     0  2
YSJ00141      9 30SSE_YSJ                        -  -   4486  -6561     0  2
YSJ00142      9 40SSE_YSJ                        -  -   4470  -6552     0  2
YSJ00143      9 50SSE_YSJ                        -  -   4455  -6543     0  2
YSJ00144      9 60SSE_YSJ                        -  -   4440  -6534     0  2
YSJ00145      9 70SSE_YSJ                        -  -   4424  -6526     0  2
YSJ00146      9 80SSE_YSJ                        -  -   4409  -6517     0  2
YSJ00147      9 90SSE_YSJ                        -  -   4393  -6508     0  2
YSJ00148      9 100SSE_YSJ                       -  -   4378  -6500     0  2
YSJ00149      9 110SSE_YSJ                       -  -   4362  -6491     0  2
YSJ00150      9 120SSE_YSJ                       -  -   4347  -6483     0  2
YSJ00151      9 130SSE_YSJ                       -  -   4331  -6474     0  2
YSJ00152      9 140SSE_YSJ                       -  -   4316  -6466     0  2
YSJ00153      9 150SSE_YSJ                       -  -   4300  -6457     0  2
YSJ00154      9 160SSE_YSJ                       -  -   4285  -6449     0  2
YSJ00155      9 170SSE_YSJ                       -  -   4269  -6441     0  2
YSJ00156      9 180SSE_YSJ                       -  -   4254  -6432     0  2
YSJ00157      9 190SSE_YSJ                       -  -   4238  -6424     0  2
YSJ00158      9 200SSE_YSJ                       -  -   4223  -6416     0  2
YSJ00159      9 210SSE_YSJ                       -  -   4207  -6408     0  2
YSJ00160      9 220SSE_YSJ                       -  -   4192  -6400     0  2
YSJ00161      9 230SSE_YSJ                       -  -   4176  -6392     0  2
YSJ00162      9 240SSE_YSJ                       -  -   4161  -6384     0  2
YSJ00163      9 20S_YSJ                          -  -   4499  -6588     0  2
YSJ00164      9 30S_YSJ                          -  -   4482  -6588     0  2
YSJ00165      9 40S_YSJ                          -  -   4465  -6588     0  2
YSJ00166      9 50S_YSJ                          -  -   4449  -6588     0  2
YSJ00167      9 60S_YSJ                          -  -   4432  -6588     0  2
YSJ00168      9 70S_YSJ                          -  -   4415  -6588     0  2
YSJ00169      9 80S_YSJ                          -  -   4399  -6588     0  2
YSJ00170      9 90S_YSJ                          -  -   4382  -6588     0  2
YSJ00171      9 100S_YSJ                         -  -   4365  -6588     0  2
YSJ00172      9 110S_YSJ                         -  -   4349  -6588     0  2
YSJ00173      9 120S_YSJ                         -  -   4332  -6588     0  2
YSJ00174      9 130S_YSJ                         -  -   4315  -6588     0  2
YSJ00175      9 140S_YSJ                         -  -   4299  -6588     0  2
YSJ00176      9 150S_YSJ                         -  -   4282  -6588     0  2
YSJ00177      9 160S_YSJ                         -  -   4266  -6588     0  2
YSJ00178      9 170S_YSJ                         -  -   4249  -6588     0  2
YSJ00179      9 180S_YSJ                         -  -   4232  -6588     0  2
YSJ00180      9 190S_YSJ                         -  -   4216  -6588     0  2
YSJ00181      9 200S_YSJ                         -  -   4199  -6588     0  2
YSJ00182      9 210S_YSJ                         -  -   4182  -6588     0  2
YSJ00183      9 220S_YSJ                         -  -   4166  -6588     0  2
YSJ00184      9 230S_YSJ                         -  -   4149  -6588     0  2
YSJ00185      9 20SSW_YSJ                        -  -   4501  -6606     0  2
YSJ00186      9 30SSW_YSJ                        -  -   4486  -6615     0  2
YSJ00187      9 40SSW_YSJ                        -  -   4470  -6624     0  2
YSJ00188      9 50SSW_YSJ                        -  -   4455  -6633     0  2
YSJ00189      9 60SSW_YSJ                        -  -   4440  -6642     0  2
YSJ00190      9 70SSW_YSJ                        -  -   4424  -6650     0  2
YSJ00191      9 80SSW_YSJ                        -  -   4409  -6659     0  2
YSJ00192      9 90SSW_YSJ                        -  -   4393  -6668     0  2
YSJ00193      9 100SSW_YSJ                       -  -   4378  -6676     0  2
YSJ00194      9 110SSW_YSJ                       -  -   4362  -6685     0  2
YSJ00195      9 20SW_YSJ                         -  -   4508  -6621     0  2
YSJ00196      9 30SW_YSJ                         -  -   4497  -6638     0  2
YSJ00197      9 40SW_YSJ                         -  -   4485  -6654     0  2
YSJ00198      9 50SW_YSJ                         -  -   4473  -6671     0  2
YSJ00199      9 60SW_YSJ                         -  -   4461  -6687     0  2
YSJ00200      9 70SW_YSJ                         -  -   4449  -6704     0  2
YSJ00201      9 80SW_YSJ                         -  -   4437  -6720     0  2
YSJ00202      9 20WSW_YSJ                        -  -   4519  -6632     0  2
YSJ00203      9 30WSW_YSJ                        -  -   4513  -6653     0  2
YSJ00204      9 40WSW_YSJ                        -  -   4506  -6675     0  2
YSJ00205      9 50WSW_YSJ                        -  -   4500  -6697     0  2
YSJ00206      9 60WSW_YSJ                        -  -   4493  -6718     0  2
YSJ00207      9 20W_YSJ                          -  -   4532  -6635     0  2
YSJ00208      9 30W_YSJ                          -  -   4532  -6659     0  2
YSJ00209      9 40W_YSJ                          -  -   4532  -6683     0  2
YSJ00210      9 20WNW_YSJ                        -  -   4545  -6632     0  2
YSJ00211      9 30WNW_YSJ                        -  -   4551  -6654     0  2
YSJ00212      9 20NW_YSJ                         -  -   4556  -6622     0  2
YSJ00213      9 30NW_YSJ                         -  -   4567  -6639     0  2
YSJ00214      9 40NW_YSJ                         -  -   4579  -6656     0  2
YSJ00215      9 20NNW_YSJ                        -  -   4563  -6606     0  2
YSJ00216      9 30NNW_YSJ                        -  -   4578  -6615     0  2
YSJ00217      9 40NNW_YSJ                        -  -   4593  -6625     0  2
YSJ00218      9 50NNW_YSJ                        -  -   4609  -6634     0  2
HUL00000      9 HUL                              -  -   4604  -6783     0  1
HUL00001      9 20NE_HUL                         -  -   4628  -6749     0  2
HUL00002      9 20ENE_HUL                        -  -   4617  -6739     0  2
HUL00003      9 30ENE_HUL                        -  -   4623  -6716     0  2
HUL00004      9 40ENE_HUL                        -  -   4629  -6694     0  2
HUL00005      9 50ENE_HUL                        -  -   4635  -6672     0  2
HUL00006      9 60ENE_HUL                        -  -   4641  -6649     0  2
HUL00007      9 70ENE_HUL                        -  -   4648  -6627     0  2
HUL00008      9 80ENE_HUL                        -  -   4654  -6604     0  2
HUL00009      9 20E_HUL                          -  -   4604  -6735     0  2
HUL00010      9 30E_HUL                          -  -   4604  -6711     0  2
HUL00011      9 40E_HUL                          -  -   4604  -6687     0  2
HUL00012      9 50E_HUL                          -  -   4603  -6663     0  2
HUL00013      9 60E_HUL                          -  -   4603  -6639     0  2
HUL00014      9 20ESE_HUL                        -  -   4591  -6739     0  2
