! SPCWATCH.TBL
!
! This table contains Storm Prediction Center Watch Corner Points.
!
! The format for the file is given below, with the number of characters in
! parentheses.
!
!!
! Log:
! G. Krueger/EAI	10/97
! G. Grosshans/SPC	 7/99	- changed 3OI -> 0YZ 
! G. Grosshans/SPC	 9/99	- changed 0YZ -> LWD 
! G. Grosshans/SPC      12/99   - coordination with J. Wakefield, changes
!                                 to TUS, TCS, and P38
! D. Kidwell/NCEP	 5/00	- changed 16 site ids per change notice
!                                 00-49, effective June 7 2000 1300UTC
! G. Grosshans/SPC	 8/01	- Fixed spelling of TALLAHASSEE
! G. Grosshans/SPC	 2/02	- Updated to add more points 
! G. Grosshans/SPC	 7/05	- Updated for GPI
! G. Grosshans/SPC	 7/05	- changed, effective with change notice
!                                 in fall 2005.
! G. Grosshans/SPC       8/05   - Removed 5I3(PIKEVILLE,KY), per FAA FSS
!                                 alerting us to SID not being valid anymore
! G. Grosshans/SPC	 6/06	- Removed "'" in ONIELL for directive
!				  WMO character compliance 
! G. Grosshans/SPC	 05/08	- Removed 0A8, 4FC 63S and 81V per
!				  communication with Richard Taufman/FAA
!				  who indicated these locations are not
!				  in the FAA RMSL file used by WARP.
! G. Grosshans/SPC	 08/11	- Removed CGX per CWSU who called regarding
!				  watch #694 indicating anchor point is no
!				  longer valid (Chicago area).
! G. Grosshans/SPC	 08/13	- Commented out RQB, Roben Hood, MI per
!				  OPS Branch Chief Bill Bunting.  Weiss and
!				  Bill think this reference is too confusing
!				  since its the name of an airport and not
!				  Big Rapids, MI, where the airport is located.
!				  Its still a "valid" anchor point, it just
!				  will NOT be a anchor point fcsts can pick.
!                
!                                 NOTE: THIS IS A DRAFT FOR WEB
! 
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!
!STID    STNM   NAME                             ST CO   LAT    LON  ELV PRI
!(8)     (6)    (32)                            (2)(2)   (5)    (6)   (5)(2)
!
RWF      000320 REDWOOD_FALLS                    MN US  4455  -9508     0  0
SPW      000129 SPENCER                          IA US  4317  -9515     0  0
HOU      000024 HOUSTON                          TX US  2965  -9528     0  0
RRT      000311 WARROAD                          MN US  4893  -9535     0  0
MKO      000074 MUSKOGEE                         OK US  3567  -9537     0  0
AXN      000307 ALEXANDRIA                       MN US  4587  -9540     0  0
TYR      000044 TYLER                            TX US  3235  -9540     0  0
PRX      000035 PARIS                            TX US  3363  -9545     0  0
CNU      000081 CHANUTE                          KS US  3767  -9548     0  0
OTG      000318 WORTHINGTON                      MN US  4365  -9558     0  0
FNB      000106 FALLS_CITY                       NE US  4007  -9560     0  0
TOP      000096 TOPEKA                           KS US  3907  -9562     0  0
MLC      000075 MCALESTER                        OK US  3488  -9578     0  0
TUL      000079 TULSA                            OK US  3620  -9588     0  0
OMA      000116 OMAHA                            NE US  4130  -9590     0  0
BVO      000067 BARTLESVILLE                     OK US  3677  -9602     0  0
TVF      000322 THIEF_RIVER_FALLS                MN US  4807  -9618     0  0
EMP      000083 EMPORIA                          KS US  3833  -9618     0  0
PSX      000036 PALACIOS                         TX US  2873  -9625     0  0
CLL      000011 COLLEGE_STATION                  TX US  3058  -9637     0  0
SUX      000127 SIOUX_CITY                       IA US  4240  -9638     0  0
DUA      000069 DURANT                           OK US  3395  -9640     0  0
MHK      000091 MANHATTAN                        KS US  3913  -9667     0  0
FSD      000244 SIOUX_FALLS                      SD US  4358  -9673     0  0
BIE      000102 BEATRICE                         NE US  4029  -9675     0  0
LNK      000111 LINCOLN                          NE US  4085  -9677     0  0
FAR      000257 FARGO                            ND US  4692  -9682     0  0
BKX      000242 BROOKINGS                        SD US  4430  -9682     0  0
DAL      000014 DALLAS                           TX US  3285  -9685     0  0
VCT      000045 VICTORIA                         TX US  2885  -9692     0  0
ADM      000066 ARDMORE                          OK US  3429  -9702     0  0
PNC      000078 PONCA_CITY                       OK US  3672  -9710     0  0
ATY      000241 WATERTOWN                        SD US  4492  -9715     0  0
GFK      000258 GRAND_FORKS                      ND US  4795  -9718     0  0
ACT      000002 WACO                             TX US  3162  -9723     0  0
OLU      000115 COLUMBUS                         NE US  4145  -9735     0  0
FTW      000019 FORT_WORTH                       TX US  3282  -9737     0  0
YKN      000251 YANKTON                          SD US  4292  -9738     0  0
TPL      000043 TEMPLE                           TX US  3115  -9742     0  0
BRO      000008 BROWNSVILLE                      TX US  2592  -9742     0  0
OFK      000114 NORFOLK                          NE US  4198  -9743     0  0
ICT      000089 WICHITA                          KS US  3765  -9743     0  0
CRP      000013 CORPUS_CHRISTI                   TX US  2777  -9750     0  0
OKC      000076 OKLAHOMA_CITY                    OK US  3540  -9760     0  0
CNK      000080 CONCORDIA                        KS US  3954  -9765     0  0
SLN      000095 SALINA                           KS US  3879  -9765     0  0
NIR      000034 BEEVILLE                         TX US  2837  -9767     0  0
AUS      000005 AUSTIN                           TX US  3030  -9770     0  0
HUT      000088 HUTCHINSON                       KS US  3807  -9787     0  0
END      000070 ENID                             OK US  3635  -9792     0  0
MHE      000246 MITCHELL                         SD US  4377  -9803     0  0
ALI      000003 ALICE                            TX US  2773  -9803     0  0
MWL      000033 MINERAL_WELLS                    TX US  3278  -9807     0  0
SEP      000040 STEPHENVILLE                     TX US  3222  -9818     0  0
HON      000245 HURON                            SD US  4438  -9823     0  0
MFE      000031 MCALLEN                          TX US  2618  -9823     0  0
GRI      000107 GRAND_ISLAND                     NE US  4097  -9832     0  0
FSI      000071 FORT_SILL                        OK US  3465  -9840     0  0
ABR      000240 ABERDEEN                         SD US  4545  -9842     0  0
HSI      000108 HASTINGS                         NE US  4060  -9843     0  0
SAT      000039 SAN_ANTONIO                      TX US  2953  -9847     0  0
SPS      000042 WICHITA_FALLS                    TX US  3397  -9850     0  0
P28      000093 MEDICINE_LODGE                   KS US  3729  -9858     0  0
JMS      000260 JAMESTOWN                        ND US  4693  -9868     0  0
RSL      000094 RUSSELL                          KS US  3886  -9882     0  0
DVL      000256 DEVILS_LAKE                      ND US  4812  -9892     0  0
BWD      000009 BROWNWOOD                        TX US  3180  -9895     0  0
EAR      000105 KEARNEY                          NE US  4072  -9900     0  0
BUB      000103 BURWELL                          NE US  4178  -9915     0  0
HDO      000023 HONDO                            TX US  2935  -9918     0  0
CSM      000068 CLINTON                          OK US  3533  -9920     0  0
COT      000012 COTULLA                          TX US  2845  -9922     0  0
LTS      000073 ALTUS                            OK US  3465  -9927     0  0
9V9      000243 CHAMBERLAIN                      SD US  4377  -9932     0  0
LRD      000029 LAREDO                           TX US  2755  -9947     0  0
BBW      000100 BROKEN_BOW                       NE US  4143  -9963     0  0
ABI      000001 ABILENE                          TX US  3242  -9968     0  0
GAG      000072 GAGE                             OK US  3629  -9977     0  0
JCT      000026 JUNCTION                         TX US  3052  -9977     0  0
HLC      000087 HILL_CITY                        KS US  3938  -9983     0  0
DDC      000082 DODGE_CITY                       KS US  3777  -9997     0  0
ANW      000099 AINSWORTH                        NE US  4258  -9998     0  0
PIR      000248 PIERRE                           SD US  4438 -10028     0  0
CDS      000010 CHILDRESS                        TX US  3443 -10028     0  0
MBG      000253 MOBRIDGE                         SD US  4553 -10043     0  0
SJT      000041 SAN_ANGELO                       TX US  3137 -10050     0  0
VTN      000118 VALENTINE                        NE US  4285 -10055     0  0
MCK      000112 MCCOOK                           NE US  4020 -10058     0  0
LBF      000110 NORTH_PLATTE                     NE US  4113 -10068     0  0
GCK      000085 GARDEN_CITY                      KS US  3793 -10072     0  0
BIS      000254 BISMARCK                         ND US  4678 -10075     0  0
DRT      000016 DEL_RIO                          TX US  2937 -10092     0  0
LBL      000090 LIBERAL                          KS US  3704 -10097     0  0
MHN      000113 MULLEN                           NE US  4205 -10107     0  0
MOT      000261 MINOT                            ND US  4827 -10128     0  0
BGS      000006 BIG_SPRING                       TX US  3222 -10150     0  0
PHP      000247 PHILIP                           SD US  4405 -10160     0  0
IML      000109 IMPERIAL                         NE US  4052 -10162     0  0
GLD      000086 GOODLAND                         KS US  3936 -10170     0  0
AMA      000004 AMARILLO                         TX US  3522 -10172     0  0
PVW      000037 PLAINVIEW                        TX US  3417 -10172     0  0
LBB      000027 LUBBOCK                          TX US  3367 -10182     0  0
EHA      000097 ELKHART                          KS US  3700 -10190     0  0
Y22      000252 LEMMON                           SD US  4593 -10217     0  0
MAF      000030 MIDLAND                          TX US  3195 -10220     0  0
DHT      000015 DALHART                          TX US  3602 -10255     0  0
LAA      000239 LAMAR                            CO US  3807 -10268     0  0
DIK      000255 DICKINSON                        ND US  4680 -10280     0  0
AIA      000098 ALLIANCE                         NE US  4205 -10280     0  0
FST      000018 FORT_STOCKTON                    TX US  3092 -10292     0  0
SNY      000117 SIDNEY                           NE US  4110 -10298     0  0
RAP      000249 RAPID_CITY                       SD US  4405 -10305     0  0
CDR      000104 CHADRON                          NE US  4283 -10310     0  0
CAO      000506 CLAYTON                          NM US  3645 -10315     0  0
INK      000025 WINK                             TX US  3178 -10320     0  0
AKO      000221 AKRON                            CO US  4018 -10322     0  0
HOB      000514 HOBBS                            NM US  3268 -10322     0  0
CVS      000508 CANNON_AFB                       NM US  3438 -10332     0  0
LHX      000233 LA_JUNTA                         CO US  3804 -10352     0  0
BFF      000101 SCOTTSBLUFF                      NE US  4188 -10360     0  0
TCC      000521 TUCUMCARI                        NM US  3518 -10360     0  0
ISN      000259 WILLISTON                        ND US  4818 -10363     0  0
LIC      000234 LIMON                            CO US  3927 -10367     0  0
MRF      000032 MARFA                            TX US  3037 -10402     0  0
SDY      000385 SIDNEY                           MT US  4770 -10420     0  0
CNM      000507 CARLSBAD                         NM US  3233 -10427     0  0
TAD      000237 TRINIDAD                         CO US  3727 -10433     0  0
PUB      000236 PUEBLO                           CO US  3828 -10450     0  0
RTN      000518 RATON                            NM US  3672 -10450     0  0
ROW      000517 ROSWELL                          NM US  3329 -10453     0  0
COS      000226 COLORADO_SPRINGS                 CO US  3882 -10472     0  0
GDV      000374 GLENDIVE                         MT US  4713 -10480     0  0
GDP      000020 GUADALUPE_PASS                   TX US  3183 -10480     0  0
CYS      000355 CHEYENNE                         WY US  4115 -10482     0  0
DEN      000227 DENVER                           CO US  3977 -10488     0  0
FCL      000230 FORT_COLLINS                     CO US  4045 -10502     0  0
LVS      000515 LAS_VEGAS                        NM US  3565 -10515     0  0
DGW      000366 DOUGLAS                          WY US  4275 -10537     0  0
4BQ      000390 BROADUS                          MT US  4543 -10540     0  0
GCC      000357 GILLETTE                         WY US  4435 -10553     0  0
OLF      000384 WOLF_POINT                       MT US  4810 -10558     0  0
LAR      000360 LARAMIE                          WY US  4132 -10567     0  0
4CR      000523 CORONA                           NM US  3410 -10568     0  0
ALS      000222 ALAMOSA                          CO US  3743 -10587     0  0
MLS      000381 MILES_CITY                       MT US  4643 -10588     0  0
SAF      000519 SANTA_FE                         NM US  3561 -10608     0  0
ALM      000513 ALAMOGORDO                       NM US  3285 -10610     0  0
ELP      000017 EL_PASO                          TX US  3180 -10638     0  0
CPR      000354 CASPER                           WY US  4290 -10647     0  0
ABQ      000505 ALBUQUERQUE                      NM US  3504 -10660     0  0
GGW      000375 GLASGOW                          MT US  4822 -10662     0  0
ASE      000223 ASPEN                            CO US  3922 -10687     0  0
ONM      000516 SOCORRO                          NM US  3402 -10690     0  0
EGE      000229 EAGLE                            CO US  3965 -10692     0  0
GUC      000232 GUNNISON                         CO US  3853 -10693     0  0
4SL      000524 CUBA                             NM US  3602 -10695     0  0
SHR      000364 SHERIDAN                         WY US  4477 -10698     0  0
RWL      000363 RAWLINS                          WY US  4180 -10720     0  0
TCS      000522 TRUTH_OR_CONSEQUENCES            NM US  3322 -10727     0  0
CAG      000224 CRAIG                            CO US  4050 -10752     0  0
DMN      000509 DEMING                           NM US  3225 -10772     0  0
DRO      000228 DURANGO                          CO US  3715 -10775     0  0
MTJ      000235 MONTROSE                         CO US  3850 -10790     0  0
GNT      000511 GRANTS                           NM US  3517 -10790     0  0
WRL      000365 WORLAND                          WY US  4397 -10797     0  0
SVC      000520 SILVER_CITY                      NM US  3263 -10815     0  0
FMN      000510 FARMINGTON                       NM US  3675 -10823     0  0
RIW      000361 RIVERTON                         WY US  4307 -10845     0  0
BIL      000368 BILLINGS                         MT US  4580 -10853     0  0
GJT      000231 GRAND_JUNCTION                   CO US  3911 -10853     0  0
CEZ      000225 CORTEZ                           CO US  3729 -10863     0  0
LND      000359 LANDER                           WY US  4282 -10873     0  0
GUP      000512 GALLUP                           NM US  3552 -10878     0  0
COD      000353 CODY                             WY US  4452 -10902     0  0
RKS      000362 ROCK_SPRINGS                     WY US  4160 -10907     0  0
LWT      000380 LEWISTOWN                        MT US  4705 -10947     0  0
4BL      000641 BLANDING                         UT US  3758 -10948     0  0
VEL      000640 VERNAL                           UT US  4043 -10952     0  0
DUG      000525 DOUGLAS                          AZ US  3147 -10960     0  0
SAD      000527 SAFFORD                          AZ US  3285 -10963     0  0
CNY      000629 MOAB                             UT US  3877 -10975     0  0
HVR      000378 HAVRE                            MT US  4855 -10977     0  0
3HT      000388 HARLOWTON                        MT US  4643 -10983     0  0
SOW      000526 SHOW_LOW                         AZ US  3427 -11000     0  0
BPI      000352 BIG_PINEY                        WY US  4257 -11010     0  0
U28      000639 GREEN_RIVER                      UT US  3900 -11018     0  0
FHU      000529 SIERRA_VISTA                     AZ US  3158 -11033     0  0
LVM      000379 LIVINGSTON                       MT US  4570 -11045     0  0
4HV      000642 HANKSVILLE                       UT US  3842 -11070     0  0
U17      000637 BULLFROG_MARINA                  UT US  3754 -11070     0  0
INW      000533 WINSLOW                          AZ US  3502 -11072     0  0
JAC      000358 JACKSON                          WY US  4360 -11073     0  0
PUC      000634 PRICE                            UT US  3961 -11075     0  0
TUS      000537 TUCSON                           AZ US  3211 -11095     0  0
EVW      000356 EVANSTON                         WY US  4128 -11103     0  0
WEY      000386 WEST_YELLOWSTONE                 MT US  4468 -11112     0  0
BZN      000370 BOZEMAN                          MT US  4578 -11115     0  0
GTF      000376 GREAT_FALLS                      MT US  4748 -11137     0  0
PGA      000534 PAGE                             AZ US  3692 -11145     0  0
FLG      000528 FLAGSTAFF                        AZ US  3513 -11167     0  0
SLC      000636 SALT_LAKE_CITY                   UT US  4078 -11197     0  0
HLN      000377 HELENA                           MT US  4660 -11200     0  0
OGD      000633 OGDEN                            UT US  4120 -11202     0  0
PHX      000535 PHOENIX                          AZ US  3343 -11202     0  0
IDA      000618 IDAHO_FALLS                      ID US  4352 -11207     0  0
GCN      000531 GRAND_CANYON                     AZ US  3595 -11215     0  0
BCE      000627 BRYCE_CANYON                     UT US  3770 -11217     0  0
MLD      000620 MALAD_CITY                       ID US  4217 -11230     0  0
MQM      000382 MONIDA                           MT US  4457 -11232     0  0
CTB      000371 CUT_BANK                         MT US  4862 -11238     0  0
PRC      000536 PRESCOTT                         AZ US  3465 -11242     0  0
BTM      000369 BUTTE                            MT US  4595 -11250     0  0
U24      000638 DELTA                            UT US  3938 -11252     0  0
DLN      000372 DILLON                           MT US  4525 -11255     0  0
PIH      000621 POCATELLO                        ID US  4292 -11260     0  0
GBN      000530 GILA_BEND                        AZ US  3293 -11270     0  0
DPG      000630 DUGWAY                           UT US  4018 -11293     0  0
MLF      000632 MILFORD                          UT US  3843 -11302     0  0
CDC      000628 CEDAR_CITY                       UT US  3770 -11310     0  0
3DU      000387 DRUMMOND                         MT US  4667 -11315     0  0
SGU      000635 SAINT_GEORGE                     UT US  3708 -11360     0  0
BYI      000617 BURLEY                           ID US  4255 -11377     0  0
SMN      000622 SALMON                           ID US  4512 -11388     0  0
IGM      000532 KINGMAN                          AZ US  3525 -11393     0  0
ENV      000631 WENDOVER                         UT US  4072 -11403     0  0
MSO      000383 MISSOULA                         MT US  4692 -11408     0  0
GPI      000373 KALISPELL                        MT US  4832 -11425     0  0
SUN      000623 HAILEY                           ID US  4350 -11430     0  0
P38      000611 CALIENTE                         NV US  3762 -11452     0  0
TWF      000626 TWIN_FALLS                       ID US  4248 -11448     0  0
YUM      000538 YUMA                             AZ US  3265 -11460     0  0
EED      000547 NEEDLES                          CA US  3477 -11462     0  0
BLH      000542 BLYTHE                           CA US  3361 -11472     0  0
ELY      000606 ELY                              NV US  3929 -11483     0  0
LAS      000607 LAS_VEGAS                        NV US  3608 -11515     0  0
3TH      000389 THOMPSON_FALLS                   MT US  4760 -11537     0  0
IPL      000550 IMPERIAL                         CA US  3283 -11557     0  0
EKO      000605 ELKO                             NV US  4082 -11578     0  0
DRA      000604 DESERT_ROCK                      NV US  3667 -11600     0  0
TRM      000570 THERMAL                          CA US  3363 -11617     0  0
OWY      000610 OWYHEE                           NV US  4195 -11618     0  0
BOI      000616 BOISE                            ID US  4357 -11622     0  0
CZZ      000544 CAMPO                            CA US  3261 -11647     0  0
DAG      000545 DAGGETT                          CA US  3485 -11678     0  0
BAM      000603 BATTLE_MOUNTAIN                  NV US  4060 -11687     0  0
LWS      000619 LEWISTON                         ID US  4637 -11702     0  0
TPH      000613 TONOPAH                          NV US  3807 -11708     0  0
PUW      000597 PULLMAN                          WA US  4675 -11712     0  0
SAN      000563 SAN_DIEGO                        CA US  3272 -11718     0  0
U31      000614 AUSTIN                           NV US  3947 -11720     0  0
RAL      000561 RIVERSIDE                        CA US  3395 -11745     0  0
GEG      000594 SPOKANE                          WA US  4762 -11753     0  0
NID      000556 INYOKERN                         CA US  3568 -11768     0  0
WMC      000615 WINNEMUCCA                       NV US  4090 -11780     0  0
BKE      000575 BAKER                            OR US  4483 -11782     0  0
EDW      000546 EDWARDS                          CA US  3490 -11790     0  0
PMD      000558 PALMDALE                         CA US  3463 -11808     0  0
LGB      000552 LONG_BEACH                       CA US  3382 -11815     0  0
ALW      000589 WALLA_WALLA                      WA US  4610 -11828     0  0
BIH      000541 BISHOP                           CA US  3736 -11837     0  0
LAX      000551 LOS_ANGELES                      CA US  3395 -11840     0  0
LOL      000608 LOVELOCK                         NV US  4007 -11857     0  0
NFL      000609 FALLON                           NV US  3950 -11875     0  0
PDT      000583 PENDLETON                        OR US  4570 -11883     0  0
BNO      000576 BURNS                            OR US  4360 -11895     0  0
BFL      000540 BAKERSFIELD                      CA US  3543 -11905     0  0
OXR      000557 OXNARD                           CA US  3420 -11920     0  0
OMK      000000 OMAK                             WA US  4846 -11952     0  0 
EPH      000593 EPHRATA                          WA US  4730 -11952     0  0
FAT      000549 FRESNO                           CA US  3678 -11972     0  0
RNO      000612 RENO                             NV US  3950 -11977     0  0
SBA      000564 SANTA_BARBARA                    CA US  3443 -11983     0  0
TVL      000571 SOUTH_LAKE_TAHOE                 CA US  3890 -12000     0  0
EAT      000592 WENATCHEE                        WA US  4740 -12020     0  0
LKV      000000 LAKEVIEW                         OR US  4217 -12040     0  0 
SMX      000568 SANTA_MARIA                      CA US  3490 -12045     0  0
MER      000553 MERCED                           CA US  3728 -12052     0  0
YKM      000600 YAKIMA                           WA US  4657 -12055     0  0
VBG      000573 LOMPOC                           CA US  3475 -12058     0  0
AAT      000000 ALTURAS                          CA US  4148 -12057     0  0 
PRB      000559 PASO_ROBLES                      CA US  3567 -12063     0  0
RDM      000585 REDMOND                          OR US  4425 -12115     0  0
DLS      000577 THE_DALLES                       OR US  4562 -12117     0  0
SCK      000565 STOCKTON                         CA US  3790 -12123     0  0
SAC      000562 SACRAMENTO                       CA US  3852 -12150     0  0
LMT      000579 KLAMATH_FALLS                    OR US  4215 -12173     0  0
MRY      000555 MONTEREY                         CA US  3658 -12185     0  0
SJC      000566 SAN_JOSE                         CA US  3736 -12193     0  0
RBL      000560 RED_BLUFF                        CA US  4015 -12225     0  0
SEA      000598 SEATTLE                          WA US  4745 -12230     0  0
MHS      000554 MOUNT_SHASTA                     CA US  4132 -12232     0  0
SFO      000567 SAN_FRANCISCO                    CA US  3761 -12237     0  0
BLI      000590 BELLINGHAM                       WA US  4880 -12253     0  0
PDX      000584 PORTLAND                         OR US  4558 -12260     0  0
MFR      000580 MEDFORD                          OR US  4237 -12287     0  0
OLM      000596 OLYMPIA                          WA US  4697 -12290     0  0
SLE      000586 SALEM                            OR US  4492 -12300     0  0
UKI      000572 UKIAH                            CA US  3913 -12320     0  0
EUG      000578 EUGENE                           OR US  4412 -12322     0  0
CLM      000591 PORT_ANGELES                     WA US  4812 -12350     0  0
AST      000574 ASTORIA                          OR US  4617 -12388     0  0
HQM      000595 HOQUIAM                          WA US  4697 -12393     0  0
ONP      000581 NEWPORT                          OR US  4458 -12405     0  0
ACV      000539 ARCATA                           CA US  4098 -12410     0  0
EKA      000548 EUREKA                           CA US  4079 -12412     0  0
CEC      000543 CRESCENT_CITY                    CA US  4178 -12423     0  0
OTH      000582 NORTH_BEND                       OR US  4342 -12425     0  0
4BK      000587 BROOKINGS                        OR US  4207 -12428     0  0
UIL      000599 QUILLAYUTE                       WA US  4793 -12457     0  0
APF      000000 NAPLES                           FL US  2615  -8177     3  0 
ASD      000000 SLIDELL                          LA US  3035  -8982     9  0 
ASX      000000 KENNEDY                          WI US  4654  -9092   251  0  
AVK      000000 ALVA                             OK US  3677  -9867   449  0  
AVC      000000 SOUTH_HILL                       VA US  3669  -7805   135  0  
BAZ      000000 NEW_BRAUNFELS                    TX US  2972  -9803   195  0  
BAX      000000 BAD_AXE                          MI US  4378  -8299   234  0  
BFW      000000 SILVER_BAY                       MN US  4720  -9140   331  0  
BGD      000000 BORGER                           TX US  3570 -10140   931  0  
BHK      000000 BAKER                            MT US  4636 -10425   905  0  
BVX      000000 BATESVILLE                       AR US  3573  -9165   141  0  
CHK      000000 CHICKASHA                        OK US  3510  -9797   351  0  
CQB      000000 CHANDLER                         OK US  3572  -9682   300  0  
CRS      000000 CORSICANA                        TX US  3203  -9640   134  0  
DEQ      000000 DE_QUEEN                         AR US  3405  -9440   106  0  
DNS      000000 DENISON                          IA US  4198  -9538   388  0  
DTL      000000 DETROIT_LAKES                    MN US  4683  -9588   426  0  
FAM      000000 FARMINGTON                       MO US  3777  -9043   288  0  
GYI      000000 SHERMAN                          TX US  3372  -9667   228  0  
FLP      000000 FLIPPIN                          AR US  3620  -9247   350  0  
GMJ      000000 GROVE                            OK US  3661  -9474   254  0  
GNA      000000 GRAND_MARAIS                     MN US  4775  -9035   186  0  
GUY      000000 GUYMON                           OK US  3668 -10150   952  0  
GZH      000000 EVERGREEN                        AL US  3142  -8704    79  0  
HCO      000000 HALLOCK                          MN US  4875  -9694   250  0  
IER      000000 NATCHITOCHES                     LA US  3174  -9310    37  0  
ITR      000000 BURLINGTON                       CO US  3924 -10228  1279  0  
LBX      000000 ANGLETON                         TX US  2912  -9547     8  0  
LLQ      000000 MONTICELLO                       AR US  3364  -9175    82  0  
MTH      000000 MARATHON                         FL US  2473  -8105     2  0  
MYL      000000 MC_CALL                          ID US  4488 -11610  1531  0  
N60      000000 GARRISON                         ND US  4765 -10143   587  0  
OCF      000000 OCALA                            FL US  2917  -8222    27  0  
OGB      000000 ORANGEBURG                       SC US  3346  -8085    59  0  
ONL      000000 ONEILL                           NE US  4247  -9868   619  0  
OXV      000000 KNOXVILLE                        IA US  4130  -9312   283  0  
PIB      000000 PINE_BELT                        MS US  3147  -8933    91  0  
P68      000000 EUREKA                           NV US  3952 -11597  1993  0  
P69      000000 LOWELL                           ID US  4615 -11560   451  0  
RAC      000000 RACINE                           WI US  4276  -8781   205  0  
REO      000000 ROME                             OR US  4259 -11787  1234  0  
RKR      000000 POTEAU                           OK US  3502  -9462   138  0  
ROX      000000 ROSEAU                           MN US  4885  -9570   323  0  
!RQB      000000 ROBEN_HOOD                       MI US  4372  -8550   302  0  
RUE      000000 RUSSELLVILLE                     AR US  3525  -9309   120  0  
RZZ      000000 ROANOKE_RAPIDS                   NC US  3644  -7771    77  0  
SDA      000000 SHENANDOAH                       IA US  4075  -9542   296  0  
SGJ      000000 ST_AUGUSTINE                     FL US  2997  -8133     3  0  
SLB      000000 STORM_LAKE                       IA US  4260  -9523   454  0  
SPD      000000 SPRINGFIELD                      CO US  3728 -10262  1335  0  
SRR      000000 RUIDOSO                          NM US  3347 -10553  2076  0  
TOR      000000 TORRINGTON                       WY US  4206 -10415  1282  0  
TQE      000000 TEKAMAH                          NE US  4177  -9617   312  0  
UNV      000000 STATE_COLLEGE                    PA US  4085  -7785   378  0  
UTS      000000 HUNTSVILLE                       TX US  3073  -9547   112  0  
VDI      000000 VIDALIA                          GA US  3219  -8237    84  0  
VPZ      000000 VALPARAISO                       IN US  4145  -8700   235  0  
VVV      000000 ORTONVILLE                       MN US  4531  -9642   335  0  
2WX      000000 BUFFALO                          SD US  4557 -10352   915  0  
6R6      000000 DRYDEN                           TX US  3004 -10221   707  0
