! VOLCANO_NAMES.TBL
!
! This table contains the locations of volcanoes.
!
! The format for the file is given below, with the number of characters in
! parentheses.
!
! Log:
! G. Krueger/EAI         1/00   Generated original
! A. Hardy/NCEP          6/03   Fixed the spelling for TUNGURAHUA
! R. Tian/SAIC           7/03   Recreated from $GEMPAK/data/tables/volcano_smithsonian.orig.tbl
! B. Hughes/SAB          2/04   Changed Smithsonian Number to Volcano Names for Map (D. Plummer)
! S. Guan/NCEP           1/17   Updated LAT, LON. and ELV from http://volcano.si.edu/projects/vaac-data/
!
!-------------------------------------------------------------------
!
!STID    STNM   NAME                             ST CO   LAT    LON  ELV PRI LOCATION
!(8)     (6)    (32)                            (2)(2)   (5)    (6)   (5)(2) (20)
!
Chikurac 999999 Chikurachki                      -- --  5032  15546  1781  0 Kuril.Is            
Chiles-C 999999 Chiles-Cerro_Negro               -- --    82  -7794  4698  0 Colombia-Ecuador    
Chillan, 999999 Chillan,_Nevados_de              -- -- -3686  -7138  3212  0 Chile-C             
Chirinko 999999 Chirinkotan                      -- --  4898  15348   724  0 Kuril.Is            
Chirpoi  999999 Chirpoi                          -- --  4653  15088   742  0 Kuril.Is            
Chokai   999999 Chokai                           -- --  3910  14005  2236  0 Honshu-Japan        
Cleft_Se 999999 Cleft_Segment                    -- --  4483 -13030 -2140  0 Pacific-NE          
Clevelan 999999 Cleveland                        -- --  5283 -16994  1730  0 Aleutian_Is         
CoAxial_ 999999 CoAxial_Segment                  -- --  4652 -12958 -2400  0 Pacific-NE          
Colima   999999 Colima                           -- --  1951 -10362  3850  0 Mexico              
Colo_[Un 999999 Colo_[Una_Una]                   -- --   -16  12160   404  0 Sulawesi-Indonesia  
Concepci 999999 Concepcion                       -- --  1154  -8562  1700  0 Nicaragua           
Copahue  999999 Copahue                          -- -- -3786  -7118  2953  0 Chile-C             
Cotopaxi 999999 Cotopaxi                         -- --   -68  -7844  5911  0 Ecuador             
Crater_L 999999 Crater_Lake                      -- --  4293 -12212  2487  0 US-Oregon           
Cumbal   999999 Cumbal                           -- --    95  -7787  4764  0 Colombia            
Curacoa  999999 Curacoa                          -- -- -1562 -17367   -33  0 Tonga-SW.Pacific    
Dallol   999999 Dallol                           -- --  1424   4030   -48  0 Ethiopia            
Deceptio 999999 Deception_Island                 -- -- -6300  -6065   602  0 Antarctica          
Dempo    999999 Dempo                            -- --  -403  10313  3173  0 Sumatra             
Descabez 999999 Descabezado_Grande               -- -- -3558  -7075  3953  0 Chile-C             
Dhamar,_ 999999 Dhamar,_Harras_of                -- --  1457   4467  3500  0 Arabia-S            
Didicas  999999 Didicas                          -- --  1908  12220   228  0 Luzon               
Dieng_Vo 999999 Dieng_Volc_Complex               -- --  -720  10992  2565  0 Java                
Dona_Jua 999999 Dona_Juana                       -- --   150  -7694  4137  0 Colombia            
Dukono   999999 Dukono                           -- --   169  12789  1229  0 Halmahera-Indonesia 
Eastern_ 999999 Eastern_Gemini_Seamount          -- -- -2098  17028   -80  0 SW.Pacific          
Ebeko    999999 Ebeko                            -- --  5069  15601  1103  0 Kuril.Is            
Ebulobo  999999 Ebulobo                          -- --  -882  12118  2124  0 Lesser.Sunda.Is     
Egon     999999 Egon                             -- --  -868  12246  1661  0 Lesser.Sunda.Is     
Ekarma   999999 Ekarma                           -- --  4896  15393  1170  0 Kuril.Is            
Emuruang 999999 Emuruangogolak                   -- --   150   3633  1285  0 Africa-E            
Epi      999999 Epi                              -- -- -1668  16837   833  0 Vanuatu-SW.Pacific  
Erebus   999999 Erebus                           -- -- -7753  16717  3794  0 Antarctica          
Erta_Ale 999999 Erta_Ale                         -- --  1360   4067   613  0 Ethiopia            
Esjufjol 999999 Esjufjoll                        -- --  6425  -1658  1620  0 Iceland-SE          
Etna     999999 Etna                             -- --  3773   1500  3330  0 Italy               
Eyjafjol 999999 Eyjafjoll                        -- --  6363  -1963  1651  0 Iceland-S           
Falcon_I 999999 Falcon_Island                    -- -- -2032 -17542   -17  0 Tonga-SW.Pacific    
Farallon 999999 Farallon_de_Pajaros              -- --  2054  14490   360  0 Mariana.Is-C.Pacific
Fayal    999999 Fayal                            -- --  3860  -2873  1043  0 Azores              
Fernandi 999999 Fernandina                       -- --   -37  -9155  1476  0 Galapagos           
Fogo     999999 Fogo                             -- --  1495  -2435  2829  0 Cape.Verde.Is       
Fonualei 999999 Fonualei                         -- -- -1802 -17433   180  0 Tonga-SW.Pacific    
Fournais 999999 Fournaise,_Piton_de_la           -- -- -2124   5571  2632  0 Indian.O-W          
Fourpeak 999999 Fourpeaked Volcano               -- --  5877 -15367  2105  0 Alaska.Peninsula    
Fuego    999999 Fuego                            -- --  1447  -9088  3763  0 Guatemala           
Fukujin  999999 Fukujin                          -- --  2193  14347  -217  0 Volcano.Is-Japan    
Fukutoku 999999 Fukutoku-okanoba                 -- --  2429  14148   -29  0 Volcano.Is-Japan    
Galeras  999999 Galeras                          -- --   122  -7737  4276  0 Colombia            
Galunggu 999999 Galunggung                       -- --  -725  10806  2168  0 Java                
Gamalama 999999 Gamalama                         -- --    80  12733  1715  0 Halmahera-Indonesia 
Gamkonor 999999 Gamkonora                        -- --   138  12753  1635  0 Halmahera-Indonesia 
Gareloi  999999 Gareloi                          -- --  5179 -17879  1573  0 Aleutian.Is         
Gaua     999999 Gaua                             -- -- -1427  16750   797  0 Vanuatu-SW.Pacific  
Gede     999999 Gede                             -- --  -677  10696  3008  0 Java                
Telong_B 999999 Telong_Bur_Ni                    -- --   477   9682  2617  0 Sumatra             
Glacier_ 999999 Glacier_Peak                     -- --  4811 -12111  3213  0 US-Washington       
Gorely   999999 Gorely                           -- --  5256  15803  1799  0 Kamchatka           
Goriasch 999999 Goriaschaia_Sopka                -- --  4683  15175   891  0 Kuril.Is            
Great_Si 999999 Great_Sitkin                     -- --  5208 -17613  1740  0 Aleutian.Is         
Grimsvot 999999 Grimsvotn                        -- --  6442  -1732  1719  0 Iceland-NE          
Grozny_G 999999 Grozny_Group                     -- --  4501  14787  1158  0 Kuril.Is            
Guagua_P 999999 Guagua_Pichincha                 -- --   -17  -7860  4784  0 Ecuador             
Guallati 999999 Guallatiri                       -- -- -1842  -6909  6071  0 Chile-N             
Heard    999999 Heard                            -- -- -5311   7351  2745  0 Indian.O            
Hekla    999999 Hekla                            -- --  6398  -1967  1490  0 Iceland             
Home_Ree 999999 Home_Reef                        -- -- -1899 -17478   -10  0 Tonga-SW.Pacific    
Hood     999999 Hood                             -- --  4537 -12170  3426  0 US-Oregon           
Hudson,_ 999999 Hudson,_Cerro                    -- -- -4590  -7297  1905  0 Chile-S             
Huequi   999999 Huequi                           -- -- -4238  -7258  1318  0 Chile-S             
Huila    999999 Huila                            -- --   293  -7603  5364  0 Colombia            
Hunga_To 999999 Hunga_Tonga-Hunga_Ha'apai        -- -- -2054 -17538   114  0 Tonga-SW.Pacific    
Hunter_I 999999 Hunter_Island                    -- -- -2240  17205   297  0 SW.Pacific          
Ibu      999999 Ibu                              -- --   149  12763  1325  0 Halmahera-Indonesia 
Ijen     999999 Ijen                             -- --  -806  11424  2769  0 Java                
Iliamna  999999 Iliamna                          -- --  6003 -15309  3053  0 Alaska-SW           
Ilibolen 999999 Iliboleng                        -- --  -834  12326  1659  0 Lesser.Sunda.Is     
Iliwerun 999999 Iliwerung                        -- --  -853  12357  1018  0 Lesser.Sunda.Is     
Ilyinsky 999999 Ilyinsky                         -- --  5150  15720  1555  0 Kamchatka           
Inielika 999999 Inielika                         -- --  -873  12098  1559  0 Lesser.Sunda.Is     
Irazu    999999 Irazu                            -- --   998  -8385  3432  0 Costa.Rica          
Iriomote 999999 Iriomote-jima                    -- --  2457  12393  -200  0 Ryukyu.Is           
Irruputu 999999 Irruputuncu                      -- -- -2073  -6855  5163  0 Chile-N             
Isluga   999999 Isluga                           -- -- -1915  -6883  5550  0 Chile-N             
Iwate    999999 Iwate                            -- --  3985  14100  2038  0 Honshu-Japan        
Iwo-Tori 999999 Iwo-Tori-shima                   -- --  2788  12822   212  0 Ryukyu.Is           
Iwo-jima 999999 Iwo-jima                         -- --  2475  14129   169  0 Volcano.Is-Japan    
Iya      999999 Iya                              -- --  -890  12164   637  0 Lesser.Sunda.Is     
Izalco   999999 Izalco                           -- --  1381  -8963  1950  0 El.Salvador         
Izu-Tobu 999999 Izu-Tobu                         -- --  3490  13910  1406  0 Honshu-Japan        
Jan_Maye 999999 Jan_Mayen                        -- --  7109   -815  2085  0 Atlantic-N-Jan.Mayen
Jefferso 999999 Jefferson                        -- --  4467 -12180  3199  0 US-Oregon           
Kaba     999999 Kaba                             -- --  -352  10262  1952  0 Sumatra             
Kagamil  999999 Kagamil                          -- --  5297 -16972   893  0 Aleutian.Is         
Kaitoku_ 999999 Kaitoku_Seamount                 -- --  2606  14093  -173  0 Volcano.Is-Japan    
Kasatoch 999999 Kasatochi                        -- --  5218 -17551   314  0 Aleutian.Is         
Kanaga   999999 Kanaga                           -- --  5192 -17717  1307  0 Aleutian.Is         
Karanget 999999 Karangetang_[Api_Siau]           -- --   278  12540  1784  0 Sangihe.Is-Indonesia
Karkar   999999 Karkar                           -- --  -465  14596  1839  0 New.Guinea          
Karpinsk 999999 Karpinsky_Group                  -- --  5015  15537  1326  0 Kuril.Is            
Karthala 999999 Karthala                         -- -- -1175   4338  2361  0 Indian.O-W          
Karymsky 999999 Karymsky                         -- --  5405  15944  1513  0 Kamchatka           
Katla    999999 Katla                            -- --  6363  -1908  1490  0 Iceland-S           
Katmai   999999 Katmai                           -- --  5828 -15496  2047  0 Alaska.Peninsula    
Kavachi  999999 Kavachi                          -- --  -902  15795   -20  0 Solomon.Is-SW.Pacific
Kelimutu 999999 Kelimutu                         -- --  -877  12182  1639  0 Lesser.Sunda.Is     
Kelut    999999 Kelut                            -- --  -793  11231  1731  0 Java                
Kerinci  999999 Kerinci                          -- --  -170  10126  3800  0 Sumatra             
Ketoi    999999 Ketoi                            -- --  4735  15248  1172  0 Kuril.Is            
Kharimko 999999 Kharimkotan                      -- --  4912  15451  1145  0 Kuril.Is            
Kick-'em 999999 Kick-'em-Jenny                   -- --  1230  -6164  -185  0 W.Indies            
Kikai    999999 Kikai                            -- --  3079  13031   704  0 Ryukyu.Is           
Kilauea  999999 Kilauea                          -- --  1942 -15529  1222  0 Hawaiian.Is         
Kirishim 999999 Kirishima                        -- --  3193  13086  1700  0 Kyushu-Japan        
Kiska    999999 Kiska                            -- --  5210  17760  1220  0 Aleutian.Is         
Kita-Iwo 999999 Kita-Iwo-jima                    -- --  2542  14128   792  0 Volcano.Is-Japan    
Kizimen  999999 Kizimen                          -- --  5513  16032  2334  0 Kamchatka           
Kliuchev 999999 Kliuchevskoi                     -- --  5606  16064  4754  0 Kamchatka           
Kolokol_ 999999 Kolokol_Group                    -- --  4604  15008  1328  0 Kuril.Is            
Komaga-t 999999 Komaga-take                      -- --  4206  14068  1131  0 Hokkaido-Japan      
Koryaksk 999999 Koryaksky                        -- --  5332  15871  3430  0 Kamchatka           
Krafla   999999 Krafla                           -- --  6575  -1625   800  0 Iceland-NE          
Krakatau 999999 Krakatau                         -- --  -610  10542   813  0 Indonesia           
Kronotsk 999999 Kronotsky                        -- --  5475  16053  3482  0 Kamchatka           
Ksudach  999999 Ksudach                          -- --  5184  15757  1079  0 Kamchatka           
Kuchinoe 999999 Kuchinoerabu-jima                -- --  3044  13022   657  0 Ryukyu.Is           
Kujusan  999999 Kujusan                          -- --  3309  13125  1791  0 Kyushu-Japan        
Kunlun_V 999999 Kunlun_Volc_Group                -- --  3552   8020  5808  0 China-W             
Kupreano 999999 Kupreanof                        -- --  5601 -15980  1895  0 Alaska.Peninsula    
Kurikoma 999999 Kurikoma                         -- --  3896  14079  1627  0 Honshu-Japan        
Kusatsu- 999999 Kusatsu-Shirane                  -- --  3662  13853  2165  0 Honshu-Japan        
Kuwae    999999 Kuwae                            -- -- -1683  16854    -2  0 Vanuatu-SW.Pacific  
Kverkfjo 999999 Kverkfjoll                       -- --  6465  -1665  1930  0 Iceland-NE          
La_Palma 999999 La_Palma                         -- --  2857  -1783  2426  0 Canary.Is           
Lamingto 999999 Lamington                        -- --  -895  14815  1680  0 New.Guinea          
Langila  999999 Langila                          -- --  -553  14842  1330  0 New.Britain-SW.Pac  
Lascar   999999 Lascar                           -- -- -2337  -6773  5592  0 Chile-N             
Lassen_V 999999 Lassen_Volc_Center               -- --  4049 -12151  3187  0 US-California       
Lautaro  999999 Lautaro                          -- -- -4902  -7355  3607  0 Chile-S             
Lengai,_ 999999 Lengai,_Ol_Doinyo                -- --  -276   3591  2962  0 Africa-E            
Lewotobi 999999 Lewotobi                         -- --  -854  12278  1703  0 Lesser.Sunda.Is     
Lewotolo 999999 Lewotolo                         -- --  -827  12350  1423  0 Lesser.Sunda.Is     
Llaima   999999 Llaima                           -- -- -3869  -7173  3125  0 Chile-C             
Loihi    999999 Loihi                            -- --  1892 -15527  -975  0 Hawaii              
Lokon-Em 999999 Lokon-Empung                     -- --   136  12479  1580  0 Sulawesi-Indonesia  
Lolobau  999999 Lolobau                          -- --  -492  15116   858  0 New.Britain-Pacific 
Long_Isl 999999 Long_Island                      -- --  -536  14712  1280  0 New.Guinea          
Lonquima 999999 Lonquimay                        -- -- -3838  -7159  2832  0 Chile-C             
Lopevi   999999 Lopevi                           -- -- -1651  16835  1413  0 Vanuatu-SW.Pacific  
Macdonal 999999 Macdonald                        -- -- -2898 -14025   -39  0 Austral.Is-C.Pacific
Machin   999999 Machin                           -- --   449  -7539  2749  0 Colombia            
Mageik   999999 Mageik                           -- --  5820 -15525  2165  0 Alaska.Peninsula    
