! VOLCANO.TBL
!
! This table contains the locations of volcanoes.
!
! The format for the file is given below, with the number of characters in
! parentheses.
!
! Log:
! G. Krueger/EAI         1/00   Generated original
! A. Hardy/NCEP          6/03   Fixed the spelling for TUNGURAHUA
! R. Tian/SAIC           7/03   Recreated from $GEMPAK/data/tables/volcano_smithsonian.orig.tbl
! D.W.Plummer/NCEP       8/04   Added Anatahan (Mariana Is-C Pacific)
! D.W.Plummer/NCEP       8/04   Reconcile w/ NESDIS/SAB operations
! S. Jacobs/NCEP        12/10   Reconcile w/ NESDIS/SAB operations
! S. Gilbert/NCEP        2/14   Updated ID numbers based on new info from Smithsonian
! S. Gilbert/NCEP       11/14   Renamed Negro_de_Mayasquer,_Cerro to Chiles-Cerro_Negro
! S. Guan/NCEP           8/16   Added Sotara (Columbia)
! S. Guan/NCEP           1/17   Updated LAT, LON. and ELV from http://volcano.si.edu/projects/vaac-data/
! B. Hebbard/NCEP        2/23   Updated LAT, LON. and ELV from current SI where avail
!-------------------------------------------------------------------
!
!STID    STNM   NAME                             ST CO   LAT    LON  ELV PRI LOCATION
!(8)     (6)    (32)                            (2)(2)   (5)    (6)   (5)(2) (20)
!
351110   999999 Chiles-Cerro_Negro               -- --    82  -7794  4698  0 Colombia-Ecuador
357070   999999 Chillan,_Nevados_de              -- -- -3687  -7138  3180  0 Chile-C
290260   999999 Chirinkotan                      -- --  4898  15348   724  0 Kuril.Is
290150   999999 Chirpoi                          -- --  4653  15087   742  0 Kuril.Is
283220   999999 Chokai                           -- --  3910  14005  2236  0 Honshu-Japan
331030   999999 Cleft_Segment                    -- --  4483 -13030 -2140  0 Pacific-NE
311240   999999 Cleveland                        -- --  5282 -16994  1730  0 Aleutian_Is
331020   999999 CoAxial_Segment                  -- --  4652 -12958 -2400  0 Pacific-NE
341040   999999 Colima                           -- --  1951 -10362  3850  0 Mexico
266010   999999 Colo_[Una_Una]                   -- --   -16  12160   404  0 Sulawesi-Indonesia
344120   999999 Concepcion                       -- --  1154  -8562  1700  0 Nicaragua
357090   999999 Copahue                          -- -- -3786  -7118  2953  0 Chile-C
352050   999999 Cotopaxi                         -- --   -68  -7844  5911  0 Ecuador
322160   999999 Crater_Lake                      -- --  4293 -12212  2487  0 US-Oregon
351100   999999 Cumbal                           -- --    95  -7787  4764  0 Colombia
243102   999999 Curacoa                          -- -- -1562 -17367   -33  0 Tonga-SW.Pacific
221041   999999 Dallol                           -- --  1424   4030   -48  0 Ethiopia
390030   999999 Deception_Island                 -- -- -6300  -6065   602  0 Antarctica
261230   999999 Dempo                            -- --  -402  10312  3142  0 Sumatra
357050   999999 Descabezado_Grande               -- -- -3558  -7075  3953  0 Chile-C
231120   999999 Dhamar,_Harras_of                -- --  1457   4467  3500  0 Arabia-S
274020   999999 Didicas                          -- --  1908  12220   228  0 Luzon
263200   999999 Dieng_Volc_Complex               -- --  -720  10988  2565  0 Java
351070   999999 Dona_Juana                       -- --   150  -7694  4137  0 Colombia
268010   999999 Dukono                           -- --   169  12789  1229  0 Halmahera-Indonesia
258001   999999 Eastern_Gemini_Seamount          -- -- -2098  17028   -80  0 SW.Pacific
290380   999999 Ebeko                            -- --  5069  15601  1103  0 Kuril.Is
264100   999999 Ebulobo                          -- --  -882  12119  2096  0 Lesser.Sunda.Is
264160   999999 Egon                             -- --  -868  12246  1661  0 Lesser.Sunda.Is
290270   999999 Ekarma                           -- --  4896  15393  1170  0 Kuril.Is
222051   999999 Emuruangogolak                   -- --   150   3633  1285  0 Africa-E
257060   999999 Epi                              -- -- -1668  16837   833  0 Vanuatu-SW.Pacific
390020   999999 Erebus                           -- -- -7753  16717  3794  0 Antarctica
221080   999999 Erta_Ale                         -- --  1360   4067   613  0 Ethiopia
374020   999999 Esjufjoll                        -- --  6425  -1658  1620  0 Iceland-SE
211060   999999 Etna                             -- --  3775   1500  3357  0 Italy
372020   999999 Eyjafjoll                        -- --  6363  -1963  1651  0 Iceland-S
243050   999999 Falcon_Island                    -- -- -2032 -17542   -17  0 Tonga-SW.Pacific
284140   999999 Farallon_de_Pajaros              -- --  2055  14489   337  0 Mariana.Is-C.Pacific
382010   999999 Fayal                            -- --  3858  -2871  1041  0 Azores
353010   999999 Fernandina                       -- --   -37  -9155  1476  0 Galapagos
384010   999999 Fogo                             -- --  1495  -2435  2829  0 Cape.Verde.Is
243100   999999 Fonualei                         -- -- -1802 -17432   188  0 Tonga-SW.Pacific
233020   999999 Fournaise,_Piton_de_la           -- -- -2124   5571  2632  0 Indian.O-W
312260   999999 Fourpeaked_Volcano               -- --  5877 -15367  2105  0 Alaska.Peninsula
342090   999999 Fuego                            -- --  1447  -9088  3763  0 Guatemala
284133   999999 Fukujin                          -- --  2193  14347  -217  0 Volcano.Is-Japan
284130   999999 Fukutoku-okanoba                 -- --  2428  14148   -29  0 Volcano.Is-Japan
351080   999999 Galeras                          -- --   122  -7737  4276  0 Colombia
263140   999999 Galunggung                       -- --  -725  10806  2168  0 Java
268060   999999 Gamalama                         -- --    80  12733  1715  0 Halmahera-Indonesia
268040   999999 Gamkonora                        -- --   138  12753  1635  0 Halmahera-Indonesia
311070   999999 Gareloi                          -- --  5179 -17879  1573  0 Aleutian.Is
257020   999999 Gaua                             -- -- -1428  16751   729  0 Vanuatu-SW.Pacific
263060   999999 Gede                             -- --  -679  10698  3026  0 Java
321020   999999 Glacier_Peak                     -- --  4811 -12111  3213  0 US-Washington
300070   999999 Gorely                           -- --  5256  15803  1799  0 Kamchatka
290170   999999 Goriaschaia_Sopka                -- --  4683  15175   891  0 Kuril.Is
311120   999999 Great_Sitkin                     -- --  5208 -17613  1740  0 Aleutian.Is
373010   999999 Grimsvotn                        -- --  6442  -1732  1719  0 Iceland-NE
290070   999999 Grozny_Group                     -- --  4501  14787  1158  0 Kuril.Is
352020   999999 Guagua_Pichincha                 -- --   -17  -7860  4784  0 Ecuador
355020   999999 Guallatiri                       -- -- -1842  -6909  6071  0 Chile-N
234010   999999 Heard                            -- -- -5311   7351  2745  0 Indian.O
372070   999999 Hekla                            -- --  6398  -1967  1490  0 Iceland
243080   999999 Home_Reef                        -- -- -1899 -17478   -10  0 Tonga-SW.Pacific
322010   999999 Hood                             -- --  4537 -12170  3426  0 US-Oregon
358057   999999 Hudson,_Cerro                    -- -- -4590  -7297  1905  0 Chile-S
358030   999999 Huequi                           -- -- -4238  -7258  1318  0 Chile-S
351050   999999 Huila                            -- --   293  -7603  5364  0 Colombia
243040   999999 Hunga_Tonga-Hunga_Ha'apai        -- -- -2054 -17538   114  0 Tonga-SW.Pacific
258020   999999 Hunter_Island                    -- -- -2240  17205   297  0 SW.Pacific
268030   999999 Ibu                              -- --   149  12763  1325  0 Halmahera-Indonesia
263350   999999 Ijen                             -- --  -806  11424  2769  0 Java
313020   999999 Iliamna                          -- --  6003 -15309  3053  0 Alaska-SW
264220   999999 Iliboleng                        -- --  -834  12326  1659  0 Lesser.Sunda.Is
264250   999999 Iliwerung                        -- --  -853  12357   583  0 Lesser.Sunda.Is
300030   999999 Ilyinsky                         -- --  5150  15720  1555  0 Kamchatka
264090   999999 Inielika                         -- --  -873  12098  1559  0 Lesser.Sunda.Is
345060   999999 Irazu                            -- --   998  -8385  3436  0 Costa.Rica
282010   999999 Iriomote-jima                    -- --  2457  12393  -200  0 Ryukyu.Is
355040   999999 Irruputuncu                      -- -- -2073  -6855  5163  0 Chile-N
355030   999999 Isluga                           -- -- -1915  -6883  5550  0 Chile-N
283240   999999 Iwate                            -- --  3985  14100  2038  0 Honshu-Japan
282020   999999 Iwo-Tori-shima                   -- --  2788  12822   212  0 Ryukyu.Is
284120   999999 Iwo-jima                         -- --  2475  14129   169  0 Volcano.Is-Japan
264110   999999 Iya                              -- --  -889  12164   618  0 Lesser.Sunda.Is
343030   999999 Izalco                           -- --  1381  -8963  1950  0 El.Salvador
283010   999999 Izu-Tobu                         -- --  3490  13910  1406  0 Honshu-Japan
376010   999999 Jan_Mayen                        -- --  7108   -815  2197  0 Atlantic-N-Jan.Mayen
322020   999999 Jefferson                        -- --  4467 -12180  3199  0 US-Oregon
261220   999999 Kaba                             -- --  -352  10262  1940  0 Sumatra
311260   999999 Kagamil                          -- --  5297 -16972   893  0 Aleutian.Is
284100   999999 Kaitoku_Seamount                 -- --  2613  14110   -95  0 Volcano.Is-Japan
311110   999999 Kanaga                           -- --  5192 -17717  1307  0 Aleutian.Is
267020   999999 Karangetang_[Api_Siau]           -- --   278  12541  1797  0 Sangihe.Is-Indonesia
251030   999999 Karkar                           -- --  -465  14598  1839  0 New.Guinea
290350   999999 Karpinsky_Group                  -- --  5015  15537  1326  0 Kuril.Is
233010   999999 Karthala                         -- -- -1175   4338  2361  0 Indian.O-W
300130   999999 Karymsky                         -- --  5405  15944  1513  0 Kamchatka
311130   999999 Kasatochi                        -- --  5218 -17551   314  0 Aleutian.Is
372030   999999 Katla                            -- --  6363  -1908  1490  0 Iceland-S
312170   999999 Katmai                           -- --  5828 -15496  2047  0 Alaska.Peninsula
255060   999999 Kavachi                          -- --  -899  15798   -20  0 Solomon.Is-SW.Pac
264140   999999 Kelimutu                         -- --  -877  12182  1639  0 Lesser.Sunda.Is
263280   999999 Kelut                            -- --  -794  11231  1730  0 Java
261170   999999 Kerinci                          -- --  -170  10126  3800  0 Sumatra
290200   999999 Ketoi                            -- --  4735  15248  1172  0 Kuril.Is
290300   999999 Kharimkotan                      -- --  4912  15451  1145  0 Kuril.Is
360160   999999 Kick-'em-Jenny                   -- --  1230  -6164  -185  0 W.Indies
282060   999999 Kikai                            -- --  3079  13030   704  0 Ryukyu.Is
332010   999999 Kilauea                          -- --  1942 -15529  1222  0 Hawaiian.Is
282090   999999 Kirishima                        -- --  3193  13086  1700  0 Kyushu-Japan
