! CWA.TBL
!
! This table contains the station information to be used as county warning
! area centroids.
!
! The format for the file is given below, with the number of characters in
! parentheses.
!
! Log:
! G. Krueger/EAI	 9/99
! R. Tian/SAIC          05/02   Updated with w_25ap02 shapefile
!-------------------------------------------------------------------
!
!STID    STNM   WFO                              ST CO   LAT    LON  ELV PRI
!(8)     (6)    (32)                            (2)(2)   (5)    (6)   (5)(2)
!
CWA111      111 TBW                              -- US  2795  -8205     0  0
CWA112      112 BRO                              -- US  2660  -9831     0  0
CWA113      113 MFL                              -- US  2616  -8095     0  0
CWA114      114 AFC                              -- US  6100 -15500     0  0
CWA115      115 AFG                              -- US  6700 -15000     0  0
CWA116      116 AJK                              -- US  5728 -13278     0  0
CWA117      117 SJU                              -- US  1809  -6625     0  0
CWA118      118 HFO                              -- US  1959 -15543     0  0
CWA119      119 GUM                              -- US  1344  14478     0  0
CWA120      120 KEY                              -- US  2463  -8155     0  0
CWA121      121 CAR                              -- US  4648  -6903     0  0
CWA122      122 PPG                              -- US -1431 -17070     0  0
CWA123      123 HUN                              -- US  3443  -8685     0  0
