! WFO.TBL
!
! This table contains the locations of the Weather Field Offices.
!
! The format for the file is given below, with the number of characters in
! parentheses.
!
!!
! Log:
! S. Jacobs/NCEP	 6/02	Modified the names to match the WFO zone products
! S. Jacobs/NCEP	 5/05	Added Huntsville
!
!STID    STNM   NAME                             ST CO   LAT    LON  ELV PRI
!(8)     (6)    (32)                            (2)(2)   (5)    (6)   (5)(2)
!
OTX      000113 SPOKANE                          WA US  4768 -11762     0  0
OUN      000001 NORMAN                           OK US  3523  -9746     0  0
PAH      000085 PADUCAH                          KY US  3706  -8877     0  0
PBZ      000024 PITTSBURGH                       PA US  4053  -8021     0  0
PDT      000092 PENDLETON                        OR US  4569 -11885     0  0
PHI      000030 MOUNT_HOLLY                      NJ US  4001  -7481     0  0
PIH      000090 POCATELLO/IDAHO_FALLS            ID US  4290 -11258     0  0
PQR      000070 PORTLAND                         OR US  4556 -12253     0  0
PSR      000011 PHOENIX                          AZ US  3343 -11202     0  0
PUB      000072 PUEBLO                           CO US  3827 -10452     0  0
RAH      000045 RALEIGH                          NC US  3577  -7868     0  0
REV      000062 RENO                             NV US  3956 -11979     0  0
RIW      000108 RIVERTON                         WY US  4306 -10847     0  0
RLX      000093 CHARLESTON                       WV US  3831  -8171     0  0
RNK      000071 BLACKSBURG                       VA US  3720  -8041     0  0
SEW      000037 SEATTLE                          WA US  4768 -12225     0  0
SGF      000077 SPRINGFIELD                      MO US  3723  -9340     0  0
SGX      000115 SAN_DIEGO                        CA US  3291 -11706     0  0
SHV      000082 SHREVEPORT                       LA US  3245  -9384     0  0
SJT      000119 SAN_ANGELO                       TX US  3137 -10049     0  0
SJU      000056 SAN_JUAN                         PR US  1843  -6600     0  0
SLC      000067 SALT_LAKE_CITY                   UT US  4077 -11195     0  0
STO      000102 SACRAMENTO                       CA US  3860 -12138     0  0
TAE      000132 TALLAHASSEE                      FL US  3045  -8430    53  0
TBW      000083 TAMPA_BAY_AREA/RUSKIN            FL US  2770  -8240     0  0
TFX      000059 GREAT_FALLS                      MT US  4746 -11138     0  0
TOP      000007 TOPEKA                           KS US  3907  -9563     0  0
TSA      000015 TULSA                            OK US  3614  -9586     0  0
TWC      000125 TUCSON                           AZ US  3222 -11095     0  0
UNR      000117 RAPID_CITY                       SD US  4407 -10321     0  0
VEF      000089 LAS_VEGAS                        NV US  3604 -11518     0  0
