The following table lists all of the possible IOSTAT errors encountered on the HPUX,
SunOS, IRIX 4 and IRIX 5 machines.  Use this table to translate an IOSTAT code which
is not translated by SS_IRET.  To translate, take the IOSTAT code returned by the
program and locate it under the appropriate column on the right-hand side.

This table was constructed using information derived from the following sources:
HPUX:	/usr/include/sys/errno.h
	/usr/lib/nls/C/f77_msgs.cat
	man pages for PERROR (3F)	

SunOS:	/usr/include/sys/errno.h
	man pages for INTRO (2) and PERROR (3F)

IRIX:  	/usr/include/sys/errno.h
	man pages for INTRO (2) and PERROR (3F)

A number with a following asterisk indicates that there is another instance of the same
IOSTAT number elsewhere in the table.  

A sole asterisk indicates that there is no IOSTAT number which correpsonds to the 
given message.

!#      Message							 HP   SUN   IX4   IX5
!-      -------                                          	---   ---   ---   ---
134 ``Variable not in namelist''				  *     *   119   119
135  ``too many open indexed files''				  *     *   135   135
136  ``corrupted isam	file''					  *     *   136   136
137  ``isam file not opened for exclusive access''      	  *     *   137   137
138  ``record	locked''					  *     *   138   138
139  ``key already exists''					  *     *   139   139
140  ``cannot	delete primary key''				  *     *   140   140
141  ``beginning or end of file reached''			  *     *   141   141
142  ``cannot	find requested record'' 			  *     *   142   142
143  ``current record	not defined''				  *     *   143   143
144  ``isam file is exclusively locked''			  *     *   144   144 
145  ``filename too long''					  *     *   145   145
146  ``cannot	create lock file''				  *     *   146   146
147  ``record	too long''					  *     *   147   147
148  ``key structure does not	match file structure''		  *     *   148   148
149  ``direct	access on an indexed file not allowed''		  *     *   149   149
150  ``keyed access on a sequential file not allowed''		  *     *   150   150
151  ``keyed access on a relative file not allowed''	 	  *     *   151   151
152  ``append	access on an indexed file not allowed''	 	  *     *   152   152
153  ``must specify record length''				  *     *   153   153
154  ``key field value type does not match key type''		  *     *   154   154
155  ``character key field value length too long''		  *     *   155   155
156  ``fixed record on sequential file not allowed''		  *     *   156   156
157  ``variable records allowed only on unformatted		  *     *   157   157
!      sequential file''
158  ``stream	records	allowed	only on	formatted	 	  *     *   158   158
!      sequential file''
159  ``maximum number of records in direct access	 	  *     *   159   159
!      file exceeded''
160  ``attempt to create or write to a read only file''		  *     *   160   160
161  ``must specify key descriptions''				  *     *   161   161
162  ``carriage control not allowed for 			  *     *   162   162
!     unformatted units''
163  ``indexed files only''					  *     *   163   163
164  ``cannot use on indexed file''				  *     *   164   164
165  ``cannot use on indexed or append file''		 	  *     *   165   165
166  ``error in closing file''					  *     *   166   166
167  ``invalid code in format specification''			  *     *   167   167
168  ``invalid record number in direct access	file''  	  *     *   168   168
169  ``cannot have endfile record on non-sequential		  *     *   169   169
!      file''
170  ``cannot position within current file''			  *     *     *   170
171  ``cannot have sequential records on direct			  *     *     *   171 
!     access file''
172  ``cannot find namelist in input file''			  *     *     *   172
