! AFOSMAP.TBL
!
! This table contains NAFOS map areas.
!
! Log:
! D. Keiser/GSC		10/96
! D. Keiser/GSC		11/96	Added CPC products
! S. Jacobs/NCEP	 4/98	Added MOS POP and Max/Min Temps
! S. Jacobs/NCEP	 4/98	Added TPC products
! S. Jacobs/NCEP	11/98	Added CPC climatology products
! S. Jacobs/NCEP	 8/99	Added CPC drought/threats products
!------------------------------------------------------------------------
!PRODUCT TYPE              GAREA 
!(25)                      (4)
!------------------------------------------------------------------------
MPL-PRECIP_MED             AFNA
33A-PRECIP_33              AFNA
33B-PRECIP_33              AFNA
33C-PRECIP_33              AFNA
33D-PRECIP_33              AFNA
33E-PRECIP_33              AFNA
33F-PRECIP_33              AFNA
33G-PRECIP_33              AFNA
33H-PRECIP_33              AFNA
33I-PRECIP_33              AFNA
33J-PRECIP_33              AFNA
33K-PRECIP_33              AFNA
33L-PRECIP_33              AFNA
67A-PRECIP_67              AFNA
67B-PRECIP_67              AFNA
67C-PRECIP_67              AFNA
67D-PRECIP_67              AFNA
67E-PRECIP_67              AFNA
67F-PRECIP_67              AFNA
67G-PRECIP_67              AFNA
67H-PRECIP_67              AFNA
67I-PRECIP_67              AFNA
67J-PRECIP_67              AFNA
67K-PRECIP_67              AFNA
67L-PRECIP_67              AFNA
T3A-TEMP                   AFNA
T3B-TEMP                   AFNA
T3C-TEMP                   AFNA
T3D-TEMP                   AFNA
T3E-TEMP                   AFNA
T3F-TEMP                   AFNA
T3G-TEMP                   AFNA
T3H-TEMP                   AFNA
T3I-TEMP                   AFNA
T3J-TEMP                   AFNA
T3K-TEMP                   AFNA
T3L-TEMP                   AFNA
M3A-PRECIP_33              AFNA
M3B-PRECIP_33              AFNA
M3C-PRECIP_33              AFNA
M3D-PRECIP_33              AFNA
M3E-PRECIP_33              AFNA
M3F-PRECIP_33              AFNA
M3G-PRECIP_33              AFNA
M3H-PRECIP_33              AFNA
M3I-PRECIP_33              AFNA
M3J-PRECIP_33              AFNA
M3K-PRECIP_33              AFNA
M3L-PRECIP_33              AFNA
M5A-PRECIP_MED             AFNA
M5B-PRECIP_MED             AFNA
M5C-PRECIP_MED             AFNA
M5D-PRECIP_MED             AFNA
M5E-PRECIP_MED             AFNA
M5F-PRECIP_MED             AFNA
M5G-PRECIP_MED             AFNA
M5H-PRECIP_MED             AFNA
M5I-PRECIP_MED             AFNA
M5J-PRECIP_MED             AFNA
M5K-PRECIP_MED             AFNA
M5L-PRECIP_MED             AFNA
M6A-PRECIP_67              AFNA
M6B-PRECIP_67              AFNA
M6C-PRECIP_67              AFNA
M6D-PRECIP_67              AFNA
M6E-PRECIP_67              AFNA
M6F-PRECIP_67              AFNA
M6G-PRECIP_67              AFNA
M6H-PRECIP_67              AFNA
M6I-PRECIP_67              AFNA
M6J-PRECIP_67              AFNA
M6K-PRECIP_67              AFNA
M6L-PRECIP_67              AFNA
04P-12-24H_MOS_POP         AFNA
06P-24-36H_MOS_POP         AFNA
08P-36-48H_MOS_POP         AFNA
09P-48-60H_MOS_POP         AFNA
04X-24H_MOS_MXMN_TMP_CNT   AFNA
06X-36H_MOS_MXMN_TMP_CNT   AFNA
08X-48H_MOS_MXMN_TMP_CNT   AFNA
09X-60H_MOS_MXMN_TMP_CNT   AFNA
P4X-24H_MOS_MXMN_TMP       AFNA
P6X-36H_MOS_MXMN_TMP       AFNA
P8X-48H_MOS_MXMN_TMP       AFNA
P9X-60H_MOS_MXMN_TMP       AFNA
LWA-LOW_MEAN_CIRC_ATL      AFWH
LWD-UP_MEAN_CIRC_ATL       AFWH
LWB-DP_LYR_MEAN_CIRC_ATL   AFWH
LWM-SHEAR_ATL              AFWH
LWL-DP_LYR_MEAN_CIRC_PAC   AFPC
LWS-SHEAR_PAC              AFPC
TSA-SFC_PRES_ANL           AFWH
DMA-DROUGHT_MON_ANL        AFNA
THP-PRCP_THREAT            AFNA
THS-SOIL_FIRE_THREAT       AFNA
THT-TEMP_WIND_THREAT       AFNA
!
T01-TEST_01                AFNA
T02-TEST_02                AFNA
T03-TEST_03                AFNA
T04-TEST_04                AFNA
T05-TEST_05                AFNA
T06-TEST_06                AFNA
T07-TEST_07                AFNA
T08-TEST_08                AFNA
T09-TEST_09                AFNA
T47-TEST_47                AFNA
T63-TEST_63                AFNA
