!
!  Station table for nwx bulletins
!
!  See the MASTER.TBL for data categories that use this table.
!
!
! Log:
! D.W.Plummer/NCEP	 4/97	Re-sort table by second column
! S. Jacobs/NCEP	 4/98	Added CWAO for Canadian Volcano Bulletins
! G. Grosshans/SPC	 7/98	Added TSA, new ID for WFO Tulsa, OK
! G. Krueger/EAI	11/98	Added and updated numerous stations.
! G. Krueger/EAI	12/98	Added stations related to Winter Weather
! G. Krueger/EAI	 2/99	Added KFGF (Grand Forks, ND)
! G. Krueger/EAI	 2/99	Updated KMEG, KDMX, KHGX, KPHI, KTSA, KTWC
! G. Krueger/EAI	 2/99	Removed KHVR (not among our products).
! G. Krueger/EAI	11/99	SPC contribs to CWYC,CWXE,CWEG,CWWG,KBIL,KBYZ
! M. Li/GSC		07/00	Added PHFO
! A. Hardy/NCEP		 1/05	Added KNEC and KNES
! J. Lewis/AWC		 4/05	Added KKCI,PAWU
! D. Kidwell/NCEP	11/05	Changed KFCA to KGPI
!
! The format for the file is given below, with the number of
! characters in parentheses.
!
!BULL  KSTN     NAME                             ST CO   LAT    LON  ELEV
!(6)   (8)      (32)                            (2)(2)   (5)    (6)   (5)
!
70267  KBIG     FT.GREELY/ALLEN                  AK US   6400  -14572    391
72480  KBIH     BISHOP_AIRPORT                   CA US   3736  -11837   1263
72677  KBIL     BILLINGS/LOGAN                   MT US   4580  -10853   1088
99999  KBYZ     BILLINGS/LOGAN                   MT US   4575  -10857  -9999
72764  KBIS     BISMARCK_MUNICI                  ND US   4677  -10075    506
72755  KBJI     BEMIDJI_MUNICIP                  MN US   4750   -9493    420
91162  KBKH     BARKING_SANDS/K                  HI US   2207  -15978      5
72412  KBKW     BECKLEY_MEMORIA                  WV US   3778   -8112    766
72230  KBMX     SHELBY_CO_AIRPT                  AL US   3317   -8677    178
72327  KBNA     NASHVILLE                        TN US   3611   -8668    180
72683  KBNO     BURNS_MUNI_(AMO                  OR US   4358  -11895   1271
72681  KBOI     BOISE_MUNICIPAL                  ID US   4357  -11622    874
72509  KBOS     BOSTON/LOGAN_IN                  MA US   4237   -7103      9
72469  KBOU     DENVER/STAPLETON                 CO US   3999  -10526   1625
72509  KBOX     BOSTON/LOGAN_IN                  MA US   4237   -7103      9
72671  KBPI     BIG_PINEY_(AMOS                  WY US   4257  -11010   2124
72241  KBPT     BEAUMONT/PORT_A                  TX US   2995   -9402      7
72250  KBRO     BROWNSVILLE                      TX US   2590   -9743      6
70026  KBRW     BARROW/POST-ROG                  AK US   7130  -15678      4
70086  KBTI     BARTER_ISLAND_(                  AK US   7013  -14363     15
99999  KBTM     BUTTE/BERT_MOON                  MT US   4595  -11250   1690
99999  KBTR     BATON_ROUGE/RYAN                 LA US   3053   -9115     21
70174  KBTT     BETTLES_FIELD                    AK US   6692  -15152    196
72617  KBTV     BURLINGTON_INTL                  VT US   4447   -7315    104
72528  KBUF     GREATER_BUFFALO_INT_AIRPORT      NY US   4294   -7873    225
72288  KBUR     BURBANK/GLENDAL                  CA US   3420  -11835    236
72232  KBVE     BOOTHVILLE                       LA US   2933   -8940      0
72406  KBWI     BALTIMORE/WASH                   MD US   3918   -7667     47
74611  KBYS     BICYCLE_LAKE_(A                  CA US   3528  -11662    716
72310  KCAE     COLUMBIA_METRO                   SC US   3395   -8112     69
72570  KCAG     CRAIG-MOFFAT(AM                  CO US   4050  -10753   1915
72521  KCAK     AKRON-CANTON_RG                  OH US   4092   -8143    377
72360  KCAO     CLAYTON_MUNI(AM                  NM US   3645  -10315   1515
72712  KCAR     CARIBOU_MUNICIP                  ME US   4687   -6802    190
70316  KCDB     COLD_BAY                         AK US   5520  -16272     31
70296  KCDV     CORDOVA/MILE_13                  AK US   6050  -14550     13
99999  KCEC     CRESCENT_CITY                    CA US   4178  -12423     17
74491  KCEF     CHICOPEE/WESTOV                  MA US   4220   -7253     75
72324  KCHA     CHATTANOOGA/LOV                  TN US   3503   -8520    210
74494  KCHH     CHATHAM                          MA US   4167   -6997     16
99999  KCHI     CHICAGO_(WSFO)                   IL US   4200   -8788    181
72208  KCHS     CHARLESTON,_CHARLESTON_AFB       SC US   3290   -8004     14
72545  KCID     CEDAR_RAPIDS_MU                  IA US   4188   -9170    265
99999  KCIR     CAIRO                            IL US   3700   -8917      0
72229  KCKL     CENTREVILLE/BIB                  AL US   3290   -8725    140
72524  KCLE     CLEVELAND-HOPKINS_INTL_AIRPORT   OH US   4140   -8185    241
99999  KCLL     COLLEGE_STATION                  TX US   3058   -9637     98
72314  KCLT     CHARLOTTE/DOUGL                  NC US   3522   -8093    234
72428  KCMH     COLUMBUS_INTL                    OH US   4000   -8288    249
72744  KCMX     HOUGHTON_CO._ME                  MI US   4717   -8850    329
72458  KCNK     CONCORDIA(AWOS)                  KS US   3954   -9765    452
72670  KCOD     CODY_MUNI_(AWOS                  WY US   4452  -10902   1553
74795  KCOF     COCOA/PATRICK_A                  FL US   2823   -8059      3
72605  KCON     CONCORD_MUNICIP                  NH US   4320   -7150    105
72466  KCOS     COLORADO_SPRING                  CO US   3882  -10472   1881
72445  KCOU     COLUMBIA_REGION                  MO US   3882   -9222    274
72569  KCPR     CASPER/NATRONA                   WY US   4292  -10647   1612
72251  KCRP     CORPUS_CHRISTI                   TX US   2777   -9750     13
72414  KCRW     CHARLESTON/KANA                  WV US   3836   -8159    299
99999  KCSG     COLUMBUS_METRO_ARPT              GA US   3252   -8493    121
99999  KCTP     STATE_COLLEGE                    PA US   4085   -7785    378
72212  KCTY     CROSS_CITY_(AMO                  FL US   2962   -8310     13
72421  KCVG     CINCINNATI/COVI                  KY US   3904   -8467    267
72564  KCYS     CHEYENNE_AIRPORT/WARREN          WY US   4115  -10479   1876
72756  KD45     WARROAD_(AMOS)                   MN US   4893   -9535    328
99999  KDAB     DAYTONA_BEACH_RGNL               FL US   2918   -8105     11
72429  KDAY     DAYTON/JAMES_M                   OH US   3990   -8420    306
72547  KDBQ     DUBUQUE_MUNICIP                  IA US   4240   -9070    329
72405  KDCA     WASHINGTON/NATI                  VA US   3885   -7703     20
72451  KDDC     DODGE_CITY(AWOS)                 KS US   3777   -9997    790
72469  KDEN     DENVER/STAPLETON                 CO US   3986  -10466   1655
72259  KDFW     DALLAS/FT_WORTH                  TX US   3290   -9703    182
70321  KDLG     DILLINGHAM_(AMO                  AK US   5905  -15852     29
72745  KDLH     DULUTH,_DULUTH_INTL_AIRPORT      MN US   4684   -9223    435
72469  KDNR     DENVER/STAPLETO                  CO US   3975  -10487   1625
74003  KDPG     DUGWAY_PRV_GRND                  UT US   4020  -11293   1326
72387  KDRA     MERCURY/DESERT                   NV US   3661  -11602   1009
72261  KDRT     DEL_RIO_(AUTOB)                  TX US   2937  -10092    313
72546  KDMX     DES_MOINES                       IA US   4174   -9373    322
72546  KDSM     DES_MOINES_INTL                  IA US   4153   -9365    294
72537  KDTW     DETROIT_METRO                    MI US   4223   -8333    202
72632  KDTX     DETROIT_NEXRAD                   MI US   4270   -8345    361
70489  KDUT     DUTCH_HARBOR                     AK US   5390  -16655      4
74455  KDVN     DAVENPORT                        IA US   4161   -9058    229
69019  KDYS     ABILENE/DYESS_A                  TX US   3243   -9985    545
74733  KE28     NORTHRUP_LNDG_S                  NM US   3290  -10640   1193
99999  KEAX     KANSAS_CITY/PLEASANT_HILL        MO US   3881   -9426    303
72381  KEDW     EDWARDS_AFB                      CA US   3490  -11788    702
99999  KEEW     NEENAH                           WI US   4422   -8855    275
72594  KEKA     EUREKA                           CA US   4079  -12417     18
72417  KEKN     ELKINS/RANDOLPH                  WV US   3888   -7984    609
99999  KEKO     ELKO(AWOS)                       NV US   4083  -11578   1565
72270  KELP     EL_PASO                          TX US   3180  -10640   1194
72486  KELY     ELY/YELLAND_FLD                  NV US   3928  -11485   1909
70259  KENA     KENAI_MUNICIPAL                  AK US   6057  -15125     29
70260  KENN     NENANA_MUNI_(AM                  AK US   6455  -14908    110
72581  KENV     WENDOVER_(AUTOB                  UT US   4072  -11403   1292
72364  KEPZ     SANTA_TERESA                     NM US   3190  -10670   1252
72526  KERI     ERIE_INTL_AIRPO                  PA US   4208   -8018    225
72648  KESC     ESCANABA_(AWOS)                  MI US   4575   -8703    187
99999  KESF     ALEXANDRIA/ESLER                 LA US   3140   -9230     34
72693  KEUG     EUGENE/MAHLON_S                  OR US   4412  -12322    114
72432  KEVV     EVANSVILLE_REGI                  IN US   3804   -8753    118
99999  KEWK     NEWTON_(AWOS)                    KS US   3804   -9728    467
72502  KEWR     NEWARK_INTL_AIR                  NJ US   4070   -7417      9
99999  KEWX     SAN_ANTONIO                      TX US   2953   -9846    246
72201  KKEY     KEY_WEST_INTL_A                  FL US   2455   -8178      6
70261  KFAI     FAIRBANKS_INTL                   AK US   6481  -14787    138
72753  KFAR     FARGO/HECTOR_FI                  ND US   4690   -9680    274
99999  KFGF     GRAND_FORKS                      ND US   4792   -9710    254
72389  KFAT     FRESNO_AIR_TERM                  CA US   3677  -11972    100
74693  KFBG     FORT_BRAGG/SIMM                  NC US   3513   -7893     74
72468  KFCS     FORT_CARSON/BUT                  CO US   3868  -10477   1789
72215  KFFC     PEACHTREE_CITY                   GA US   3336   -8456    246
72656  KFFM     FERGUS_FALLS_(A                  MN US   4628   -9615    361
74570  KFFO     WRIGHT-PATERSON                  OH US   3983   -8405    251
72376  KFGZ     FLAGSTAFF                        AZ US   3523  -11182   2192
72273  KFHU     FORT_HUACHUCA                    AZ US   3160  -11035   1438
99999  KFLG     FLAGSTAFF_(AMOS)                 AZ US   3513  -11167   2137
72506  KFMH     OTIS_ANGB                        MA US   4165   -7052     40
99999  KFMY     FORT_MYERS/PAGE_FLD              FL US   2658   -8187      5
72637  KFNT     FLINT/BISHOP_IN                  MI US   4297   -8375    233
72549  KFOD     FORT_DODGE_(AWO                  IA US   4255   -9418    355
72455  KFRI     FT_RILEY/MARSHA                  KS US   3904   -9677    325
72651  KFSD     SIOUX_FALLS/FOS                  SD US   4358   -9673    435
72355  KFSI     FORT_SILL                        OK US   3465   -9840    362
72344  KFSM     FORT_SMITH_MUNI                  AR US   3533   -9437    141
72424  KFTK     FORT_KNOX/GODMA                  KY US   3790   -8597    230
99999  KFTW     FORT_WORTH/MEACHAM               TX US   3282   -9737    216
72533  KFWA     FORT_WAYNE/BAER                  IN US   4100   -8520    252
72249  KFWD     FORT_WORTH                       TX US   3279   -9730    196
70194  KFYU     FORT_YUKON_(AMO                  AK US   6656  -14527    131
70204  KGAM     GAMBELL_(AWOS)                   AK US   6377  -17173      8
74724  KGBN     GILA_BEND_(AAF)                  AZ US   3288  -11272    262
72665  KGCC     GILLETTE_(AMOS)                  WY US   4435  -10553   1230
99999  KGCK     GARDEN_CITY_MUNI                 KS US   3793  -10072    881
72262  KGDP     GUADALUPE_PASS                   TX US   3183  -10480   1662
72785  KGEG     SPOKANE_INTL_AR                  WA US   4763  -11753    721
72247  KGGG     LONGVIEW                         TX US   3235   -9465    124
72768  KGGW     GLASGOW                          MT US   4822  -10662    700
99999  KGID     HASTINGS                         NE US   4097   -9832    566
72476  KGJT     GRAND_JUNCTION                   CO US   3911  -10853   1475
70271  KGKN     GULKANA_ARPT_(A                  AK US   6215  -14544    481
72465  KGLD     GOODLAND/RENNER                  KS US   3936  -10170   1124
99999  KGLH     GREENVILLE_MUNI                  MS US   3348   -9098     40
72242  KGLS     GALVESTON/SCHOL                  TX US   2930   -9480     16
72779  KGPI     KALISPELL/GLACI                  MT US   4830  -11427    906
72645  KGRB     GREEN_BAY,_AUSTIN_STRAUBEL_INT_A WI US   4448   -8814    211
74207  KGRF     FORT_LEWIS/GRAY                  WA US   4708  -12258     92
72552  KGRI     GRAND_ISLAND(AW                  NE US   4097   -9832    566
72635  KGRR     GRAND_RAPIDS_IN                  MI US   4288   -8552    242
72317  KGSO     GREENSBORO/PIED                  NC US   3608   -7995    270
72312  KGSP     GREER,_GREENVILLE-SPARTANBURG_AI SC US   3488   -8222    296
70367  KGST     GUSTAVUS                         AK US   5842  -13572      9
74370  KGTB     FORT_DRUM/WHEEL                  NY US   4405   -7573    207
72775  KGTF     GREAT_FALLS                      MT US   4748  -11137   1115
74389  KGYX     GRAY                             ME US   4389   -7026    125
72304  KHAT     CAPE_HATTERAS                    NC US   3527   -7555      3
99999  KHFD     HARTFORD/BRAINARD                CT US   4173   -7265      6
69002  KHGT     HUNTER_LIGGET/T                  CA US   3600  -12123    310
99999  KHGX     HOUSTON/WILL_HOBBY               TX US   2947   -9508     35
72772  KHLN     HELENA_REGIONAL                  MT US   4660  -11200   1188
72257  KHLR     FT_HOOD_AAF/KIL                  TX US   3115   -9772    286
74732  KHMN     HOLLOMAN_AFB                     NM US   3285  -10610   1248
72784  KHMS     HANFORD                          WA US   4657  -11960    223
91182  KHNL     HONOLULU_INTL/O                  HI US   2135  -15793      5
72389  KHNX     FRESNO_AIR_TERM                  CA US   3677  -11972    100
70341  KHOM     HOMER_MUNICIPAL                  AK US   5963  -15150     22
72654  KHON     HURON_REGIONAL                   SD US   4438   -9822    393
74671  KHOP     FORT_CAMPBELL_(                  KY US   3667   -8750    174
99999  KHOU     HOUSTON/WILL_HOBBY               TX US   2965   -9528     14
74777  KHRT     HURLBURT_FIELD                   FL US   3043   -8668     12
72323  KHSV     HUNTSVILLE/MADI                  AL US   3465   -8677    196
72638  KHTL     HOUGHTON_LAKE_A                  MI US   4437   -8468    351
72425  KHTS     HUNTINGTON/TRI                   WV US   3836   -8255    255
99999  KHUN     HUNTSVILLE                       AL US   3473   -8665    196
72403  KIAD     WASHINGTON/DULL                  VA US   3895   -7745     98
72243  KIAH     HOUSTON/INTCNTL                  TX US   2997   -9535     33
72450  KICT     WICHITA/CONTINE                  KS US   3765   -9743    408
72370  KIGM     KINGMAN_(AMOS)                   AZ US   3527  -11395   1033
70482  KIKO     NIKOLSKI_(AMOS)                  AK US   5295  -16885     21
99999  KILG     WILMINGTON_AIRPORT               DE US   3968   -7560     24
70340  KILI     ILIAMNA_ARPT_(A                  AK US   5975  -15491     49
99999  KILM     WILMINGTON/NEW_HANOVER_INTL_AIRP NC US   3427   -7791      9
72426  KILN     WILMINGTON                       OH US   3942   -8372    317
74560  KILX     LINCOLN                          IL US   4015   -8934    178
72438  KIND     INDIANAPOLIS_IN                  IN US   3972   -8627    246
72747  KINL     INTERNATIONAL_F                  MN US   4857   -9338    361
72374  KINW     WINSLOW_(AUTOB)                  AZ US   3502  -11073   1488
72514  KIPT     WILLIAMSPORT                     PA US   4125   -7692    160
72767  KISN     WILLISTON/SLOUL                  ND US   4818  -10363    581
91285  KITO     HILO/LYMAN                       HI US   1972  -15507     11
99999  KIWX     NORTH_WEBSTER                    IN US   4135   -8570    266
72235  KJAN     JACKSON/THOMPSO                  MS US   3232   -9008    101
72206  KJAX     JACKSONVILLE                     FL US   3048   -8170      9
74740  KJCT     JUNCTION_(AMOS)                  TX US   3050   -9977    522
74486  KJFK     NEW_YORK/JFK                     NY US   4065   -7378      7
99999  KJKL     JACKSON/J._CARROLL               KY US   3760   -8332    421
70381  KJNU     JUNEAU_INTL_AIR                  AK US   5837  -13458      7
99999  KKCI     KANSAS_CITY_INTL/AVIATION_WX_CNT MO US   3912   -9460    231
70395  KKTN     KETCHIKAN_INTL                   AK US   5535  -13169     29
69017  KL63     INDIAN_SPRINGS                   NV US   3653  -11557    972
72539  KLAN     LANSING/CAPITAL                  MI US   4277   -8460    266
72386  KLAS     LAS_VEGAS/MCCAR                  NV US   3608  -11517    664
72295  KLAX     LOS_ANGELES_INT                  CA US   3393  -11840     32
72267  KLBB     LUBBOCK_INTL_AR                  TX US   3365  -10182    988
72562  KLBF     N._PLATTE/LEE_B                  NE US   4113  -10068    849
72240  KLCH     LAKE_CHARLES_MU                  LA US   3012   -9322     10
72422  KLEX     LEXINGTON/BLUEG                  KY US   3803   -8460    301
74598  KLFI     LANGLEY_AFB/HAM                  VA US   3708   -7637      3
72503  KLGA     NEW_YORK/LA_GUA                  NY US   4077   -7390      9
72297  KLGB     LONG_BEACH_ARPT                  CA US   3382  -11815     12
72209  KLHW     FT_STEWART/WRIG                  GA US   3188   -8156     14
99999  KLIC     LIMON_MUNICIPAL                  CO US   3927  -10367   1635
91165  KLIH     LIHUE-ON-KAUAI                   HI US   2198  -15935     45
99999  KLIT     LITTLE_ROCK/ADAMS_&              AR US   3473   -9223     79
99999  KLIX     NEW_ORLEANS_LAKE                 LA US   3003   -9003      3
72582  KLKN     ELKO                             NV US   4087  -11573   1608
72423  KLMK     LOUISVILLE/STAN                  KY US   3818   -8573    149
99999  KLMT     KLAMATH_FALLS/KINGS              OR US   4215  -12173   1247
72576  KLND     LANDER/HUNT_FIE                  WY US   4282  -10873   1694
72551  KLNK     LINCOLN_MUNICIP                  NE US   4085   -9675    362
99999  KLOT     CHICAGO_(WSFO)                   IL US   4200   -8788    181
72295  KLOX     LOS_ANGELES_INT                  CA US   3393  -11840     32
72252  KLRD     LAREDO_INTL_AIR                  TX US   2755   -9947    155
72643  KLSE     LA_CROSSE_MUNIC                  WI US   4387   -9125    202
72225  KLSF     FORT_BENNING                     GA US   3233   -8483     71
99999  KLSX     ST._LOUIS                        MO US   3875   -9038    174
72352  KLTS     ALTUS_AFB                        OK US   3467   -9927    420
72267  KLUB     LUBBOCK_INTL_AR                  TX US   3365  -10182    988
99999  KLUK     CINCINNATI/LUNKIN                OH US   3910   -8442    147
72783  KLWS     LEWISTON_(AMOS)                  ID US   4638  -11702    438
72403  KLWX     WASH/DULL_NEXRAD                 VA US   3898   -7748    113
72410  KLYH     LYNCHBURG/P._GL                  VA US   3733   -7920    286
72340  KLZK     NORTH_LITTLE_RO                  AR US   3483   -9225    165
72265  KMAF     MIDLAND_REGIONA                  TX US   3195  -10218    872
74788  KMCF     TAMPA/MACDILL_A                  FL US   2785   -8252      4
70231  KMCG     MCGRATH                          AK US   6297  -15562    103
72446  KMCI     KANSAS_CITY_INT                  MO US   3932   -9472    312
72217  KMCN     MACON/LEWIS_WIL                  GA US   3270   -8365    110
72205  KMCO     ORLANDO_JETPORT                  FL US   2843   -8131     32
74468  KMDN     JEFFERSON_PRVG                   IN US   3883   -8542    266
70343  KMDO     MIDDLETON_ISLAN                  AK US   5943  -14633     14
72534  KMDW     CHICAGO/MIDWAY                   IL US   4178   -8775    190
72234  KMEI     MERIDIAN/KEY_FE                  MS US   3233   -8875     94
72334  KMEG     MEMPHIS                          TN US   3513   -8980     87
72334  KMEM     MEMPHIS_INTL_AR                  TN US   3504   -9000     87
72481  KMER     CASTLE_AFB/MERC                  CA US   3738  -12057     57
99999  KMFD     MANSFIELD/LAHM_MUNI              OH US   4082   -8252    395
72202  KMFL     MIAMI                            FL US   2575   -8038      5
72597  KMFR     MEDFORD                          OR US   4237  -12287    405
72227  KMGE     MARIETTA/DOBBIN                  GA US   3392   -8452    326
72226  KMGM     MONTGOMERY/DANN                  AL US   3229   -8640     62
99999  KMGW     MORGANTOWN/HART                  WV US   3965   -7992    380
70246  KMHM     MINCHUMINA                       AK US   6390  -15227    214
99999  KMHS     MOUNT_SHASTA_(A                  CA US   4132  -12232   1080
72305  KMHX     NEWPORT                          NC US   3478   -7688     11
