PARM = HOUR;PRES;HGHT;TMPC;DWPC;SSTC;SPED;DRCT

STID     DATTIM         HOUR    PRES    HGHT    TMPC    DWPC    SSTC    SPED    DRCT
F0000889 930618/2100  0.2778  853.69 1544.09    5.91    4.15   15.81    5.42  347.75
F0000890 930618/2100  0.2806  853.83 1543.75    5.89    4.35   15.90    5.66  346.00
F0000891 930618/2100  0.2833  853.67 1544.81    5.95    3.93   15.87    5.87  342.94
F0000892 930618/2100  0.2861  853.64 1545.39    5.89    3.96   15.93    5.93  345.73
F0000893 930618/2100  0.2889  853.46 1546.61    5.77    4.18   15.58    5.55  346.92
F0000894 930618/2100  0.2917  853.77 1543.81    5.76    4.42   15.83    5.75  349.55
F0000895 930618/2100  0.2944  854.02 1541.41    5.81    4.27   15.81    5.94  343.51
F0000896 930618/2100  0.2972  853.89 1540.78    5.69    4.18   15.98    6.22  343.22
F0000897 930618/2100  0.3000  853.85 1541.69    5.76    4.34   12.40    5.14  343.02
F0000898 930618/2100  0.3028  853.24 1547.57    5.71    4.24   16.24    5.09  346.25
F0000899 930618/2100  0.3056  852.34 1553.77    5.58    4.06   16.29    4.63  350.54
F0000900 930618/2100  0.3083  842.10 1653.13    4.83    3.84   15.61    5.23  350.91
F0000901 930618/2100  0.3111  823.64 1834.34    7.11    2.06    8.10    4.89    0.90
F0000902 930618/2100  0.3139  816.86 1904.64    7.91   -6.53    7.57    4.61  336.46
F0000903 930618/2100  0.3167  814.59 1927.27    7.98   -5.92    5.20    4.83  335.60
F0000904 930618/2100  0.3194  806.01 2014.27    8.01   -4.44    8.20    4.39  352.03
F0000905 930618/2100  0.3222  797.88 2094.97    8.63   -8.42    9.89    5.14  334.83
F0000906 930618/2100  0.3250  789.07 2186.15    8.50   -7.77   14.11    5.28  321.75
F0000907 930618/2100  0.3278  783.70 2241.23    8.36   -9.79   11.22    5.81  319.40
F0000908 930618/2100  0.3306  776.74 2315.42    8.06   -8.69   13.34    6.07  316.61
F0000909 930618/2100  0.3333  767.09 2418.90    7.61   -8.82   11.90    5.92  316.60
F0000910 930618/2100  0.3361  759.03 2504.94    7.39   -6.68   11.90    5.74  310.61
F0000911 930618/2100  0.3389  754.44 2554.96    7.11   -7.73   14.30    5.81  311.23
F0000912 930618/2100  0.3417  748.79 2617.25    6.64   -7.59   10.42    5.82  312.09
F0000913 930618/2100  0.3444  742.74 2684.70    6.14   -7.50   12.41    5.47  310.25
F0000914 930618/2100  0.3472  736.72 2750.19    5.59   -7.75   12.82    5.33  308.64
F0000915 930618/2100  0.3500  734.82 2773.04    5.38   -7.81   13.89    5.20  308.93
F0000916 930618/2100  0.3528  736.26 2758.64    5.58   -8.10   14.96    5.01  312.04
F0000917 930618/2100  0.3556  734.01 2782.51    5.43   -7.55   15.10    5.00  309.36
F0000918 930618/2100  0.3583  734.98 2775.53    5.49   -7.71   15.22    4.87  311.51
F0000919 930618/2100  0.3611  735.24 2772.08    5.51   -8.28   15.21    4.69  311.44
F0000920 930618/2100  0.3639  734.80 2777.63    5.47   -8.22   15.15    4.72  310.24
F0000921 930618/2100  0.3667  734.27 2782.71    5.40   -8.26   15.37    4.79  307.54
F0000922 930618/2100  0.3694  733.59 2789.33    5.33   -8.53   14.94    5.03  306.36
F0000923 930618/2100  0.3722  733.18 2793.90    5.27   -8.62   14.94    5.10  306.34
F0000924 930618/2100  0.3750  733.36 2792.64    5.27   -8.78   14.83    5.10  307.29
F0000925 930618/2100  0.3778  733.56 2790.21    5.28   -8.85   12.70    5.18  307.49
F0000926 930618/2100  0.3806  733.85 2786.11    5.30   -8.92   14.75    5.06  306.79
F0000927 930618/2100  0.3833  733.91 2785.87    5.31   -8.67   14.99    5.18  307.53
F0000928 930618/2100  0.3861  733.74 2787.02    5.29   -8.55   12.26    5.10  306.53
F0000929 930618/2100  0.3889  733.60 2790.51    5.31   -8.55    9.04    5.06  306.40
F0000930 930618/2100  0.3917  733.76 2789.11    5.36   -8.88    6.40    4.85  306.47
F0000931 930618/2100  0.3944  733.82 2786.59    5.36   -8.84    6.20    4.68  307.36
F0000932 930618/2100  0.3972  734.02 2785.75    5.39   -9.09    3.76    4.59  307.45
F0000933 930618/2100  0.4000  734.08 2785.35    5.39   -9.03    3.85    4.50  307.66
F0000934 930618/2100  0.4028  733.95 2786.69    5.41   -9.33    2.54    4.53  307.43
F0000935 930618/2100  0.4056  733.78 2788.60    5.39   -9.60    2.28    4.45  308.80
F0000936 930618/2100  0.4083  733.84 2787.26    5.38   -9.45    2.20    4.27  309.88
F0000937 930618/2100  0.4111  734.01 2785.45    5.40   -8.96    1.70    4.20  310.40
F0000938 930618/2100  0.4139  734.21 2782.48    5.42   -8.77    2.15    4.00  311.64
F0000939 930618/2100  0.4167  734.19 2783.77    5.43   -8.64    1.48    3.84  312.34
F0000940 930618/2100  0.4194  733.95 2786.88    5.39   -8.75    1.66    3.78  312.57
F0000941 930618/2100  0.4222  733.95 2787.29    5.38   -8.45    1.96    3.85  314.38
F0000942 930618/2100  0.4250  734.09 2785.23    5.39   -8.11    1.95    3.76  314.90
F0000943 930618/2100  0.4278  734.22 2782.76    5.42   -8.40    1.81    3.76  318.39
F0000944 930618/2100  0.4306  734.42 2781.66    5.43   -8.49    1.94    3.72  316.14
F0000945 930618/2100  0.4333  734.29 2785.32    5.40   -7.91    1.71    3.59  318.66
F0000946 930618/2100  0.4361  733.93 2786.52    5.36   -7.95    1.35    3.60  316.72
F0000947 930618/2100  0.4389  733.69 2789.78    5.34   -7.61    4.86    3.54  317.76
F0000948 930618/2100  0.4417  733.89 2788.44    5.37   -7.55    1.49    3.49  315.93
F0000949 930618/2100  0.4444  734.12 2786.29    5.46   -8.16    1.78    3.29  312.74
F0000950 930618/2100  0.4472  734.26 2784.37    5.47   -8.02    3.29    3.12  313.40
F0000951 930618/2100  0.4500  734.39 2783.25    5.49   -8.71    2.65    3.06  314.66
F0000952 930618/2100  0.4528  734.23 2784.30    5.46   -7.69    2.26    3.01  316.86
F0000953 930618/2100  0.4556  734.03 2786.73    5.45   -8.79    2.10    3.04  316.99
F0000954 930618/2100  0.4583  733.83 2790.49    5.41   -8.76    4.53    3.12  319.15
F0000955 930618/2100  0.4611  733.79 2790.57    5.36   -8.59    3.81    3.12  318.06
F0000956 930618/2100  0.4639  733.99 2787.24    5.38   -8.48    9.18    3.07  319.35
F0000957 930618/2100  0.4667  734.22 2786.16    5.37   -8.82    3.03    3.20  315.93
F0000958 930618/2100  0.4694  734.52 2781.44    5.44   -8.62    8.73    3.06  315.31
F0000959 930618/2100  0.4722  734.56 2780.26    5.46   -8.14    7.59    2.97  316.27
F0000960 930618/2100  0.4750  734.25 2783.23    5.44   -8.09    8.34    2.95  316.25
F0000961 930618/2100  0.4778  734.05 2787.97    5.42   -8.88   11.21    3.00  312.97
F0000962 930618/2100  0.4806  733.85 2788.34    5.40   -8.64   12.04    3.04  314.71
F0000963 930618/2100  0.4833  733.78 2788.00    5.31   -8.46   10.40    3.32  310.94
F0000964 930618/2100  0.4861  733.94 2787.89    5.28   -7.43    8.00    3.47  308.99
F0000965 930618/2100  0.4889  734.08 2786.83    5.30   -7.34    2.05    3.45  311.41
F0000966 930618/2100  0.4917  734.08 2785.40    5.34   -7.58    2.06    3.30  309.87
F0000967 930618/2100  0.4944  734.09 2785.94    5.41   -7.82    5.61    3.10  308.87
F0000968 930618/2100  0.4972  734.09 2785.42    5.37   -7.68    6.95    3.18  306.88
F0000969 930618/2100  0.5000  735.67 2770.68    5.60   -7.76   14.46    3.03  319.74
F0000970 930618/2100  0.5028  735.58 2769.03    5.53   -7.65    1.61    3.79  312.42
F0000971 930618/2100  0.5056  734.51 2783.03    5.43   -7.40    8.96    3.96  315.10
F0000972 930618/2100  0.5083  733.41 2792.21    5.33   -7.26   15.04    4.09  315.74
F0000973 930618/2100  0.5111  732.94 2799.93    5.33   -8.18   12.31    3.75  315.81
F0000974 930618/2100  0.5139  733.22 2794.92    5.35   -8.70    1.96    3.88  310.10
F0000975 930618/2100  0.5167  733.48 2792.99    5.51  -10.31    2.26    3.74  308.26
F0000976 930618/2100  0.5194  733.94 2788.06    5.64  -11.77    1.55    4.11  303.87
F0000977 930618/2100  0.5222  734.05 2785.27    5.64  -13.34    9.42    4.35  303.88
F0000978 930618/2100  0.5250  733.98 2787.05    5.51   -9.55   12.92    4.70  304.11
F0000979 930618/2100  0.5278  734.08 2785.03    5.39   -6.21   15.25    5.12  303.49
F0000980 930618/2100  0.5306  734.15 2785.50    5.38   -4.81    8.06    4.96  302.70
F0000981 930618/2100  0.5333  734.05 2787.95    5.38   -4.09    2.89    4.95  301.27
F0000982 930618/2100  0.5361  734.15 2785.89    5.34   -3.75    4.33    5.08  303.13
F0000983 930618/2100  0.5389  734.62 2781.33    5.30   -2.06    2.55    5.27  304.96
F0000984 930618/2100  0.5417  734.95 2776.65    5.33   -2.53    3.56    5.42  306.25
F0000985 930618/2100  0.5444  735.13 2774.19    5.31   -2.54    4.36    5.48  308.07
F0000986 930618/2100  0.5472  734.90 2777.32    5.25   -1.71    2.54    5.43  309.09
F0000987 930618/2100  0.5500  734.50 2779.89    5.18   -2.03    1.23    5.48  309.95
F0000988 930618/2100  0.5528  734.38 2782.58    5.15   -1.99    4.92    5.62  311.04
F0000989 930618/2100  0.5556  734.14 2784.84    5.18   -2.20    2.28    5.47  311.19
F0000990 930618/2100  0.5583  734.34 2784.28    5.15   -2.05    1.61    5.54  311.22
F0000991 930618/2100  0.5611  734.57 2779.61    5.18   -2.04    3.55    5.62  313.15
F0000992 930618/2100  0.5639  734.77 2778.37    5.16   -2.12    1.37    5.56  311.38
F0000993 930618/2100  0.5667  734.70 2779.25    5.14   -1.97    1.70    5.55  311.92
F0000994 930618/2100  0.5694  734.30 2782.68    5.06   -1.84    2.05    5.56  311.62
F0000995 930618/2100  0.5722  734.13 2785.03    5.07   -1.96    2.41    5.20  309.29
F0000996 930618/2100  0.5750  734.03 2787.13    5.08   -2.06    2.29    5.07  309.73
F0000997 930618/2100  0.5778  734.16 2784.01    5.14   -1.75    1.43    5.14  308.57
F0000998 930618/2100  0.5806  734.47 2782.25    5.17   -1.87    1.40    5.16  309.65
F0000999 930618/2100  0.5833  734.54 2780.58    5.13   -1.82    1.57    5.34  311.34
F0001000 930618/2100  0.5861  734.54 2781.89    5.05   -1.86    1.63    5.22  308.87
F0001001 930618/2100  0.5889  734.14 2784.45    5.05   -1.85    1.90    5.41  310.46
F0001002 930618/2100  0.5917  733.97 2786.26    5.00   -1.84    1.09    5.30  309.56
F0001003 930618/2100  0.5944  733.96 2788.17    4.92   -1.17    1.86    5.43  307.00
F0001004 930618/2100  0.5972  734.23 2785.44    4.97   -1.02    1.58    5.46  310.39
F0001005 930618/2100  0.6000  734.57 2780.70    4.97   -0.38    1.25    5.63  309.23
F0001006 930618/2100  0.6028  734.67 2778.68    5.00   -0.38    1.90    5.64  312.06
F0001007 930618/2100  0.6056  734.51 2781.39    5.02   -0.87    1.93    5.58  314.67
F0001008 930618/2100  0.6083  734.33 2783.17    4.91   -0.18    1.18    5.50  309.56
F0001009 930618/2100  0.6111  734.09 2784.95    4.93   -0.35    1.60    5.39  310.89
F0001010 930618/2100  0.6139  734.03 2785.31    4.88   -0.37    2.12    5.67  310.08
F0001011 930618/2100  0.6167  734.43 2782.34    4.91   -0.46    2.14    5.98  309.44
F0001012 930618/2100  0.6194  734.63 2780.37    4.86   -0.17    2.08    6.27  308.61
F0001013 930618/2100  0.6222  734.57 2779.43    4.90   -0.23    2.41    6.25  309.86
F0001014 930618/2100  0.6250  734.34 2781.80    4.80    0.01    1.73    6.30  308.38
F0001015 930618/2100  0.6278  734.17 2785.21    4.80   -0.08    2.28    6.29  308.01
F0001016 930618/2100  0.6306  734.04 2786.36    4.97   -0.42    1.10    6.12  310.80
F0001017 930618/2100  0.6333  734.17 2785.65    5.08   -0.76    2.59    5.67  312.80
F0001018 930618/2100  0.6361  734.62 2780.25    4.99   -0.47    2.40    6.05  302.71
F0001019 930618/2100  0.6389  734.59 2778.43    5.01   -0.37    2.12    5.99  301.03
F0001020 930618/2100  0.6417  734.37 2781.17    4.94   -0.24    2.03    6.29  304.60
F0001021 930618/2100  0.6444  734.34 2783.24    4.88    0.04    2.03    6.33  306.76
F0001022 930618/2100  0.6472  734.24 2783.60    4.87    0.02    2.65    6.33  308.72
F0001023 930618/2100  0.6500  734.45 2781.70    4.74   -0.11    2.53    6.42  310.21
F0001024 930618/2100  0.6528  734.50 2781.86    4.58    0.39    2.54    6.01  306.31
F0001025 930618/2100  0.6556  734.30 2782.53    4.55    0.36    2.74    5.87  304.72
F0001026 930618/2100  0.6583  734.19 2784.00    4.56    0.36    3.70    5.66  306.99
F0001027 930618/2100  0.6611  734.36 2782.93    4.63    0.30    3.13    5.73  306.17
F0001028 930618/2100  0.6639  734.69 2779.03    4.63    0.36    2.07    5.83  303.06
F0001029 930618/2100  0.6667  734.75 2778.95    4.62    0.34    2.50    6.26  302.46
F0001030 930618/2100  0.6694  734.56 2779.64    4.62    0.36    3.60    6.18  304.16
F0001031 930618/2100  0.6722  734.36 2782.90    4.61    0.40    2.73    5.99  305.98
F0001032 930618/2100  0.6750  734.12 2784.51    4.60   -0.06    4.05    5.89  304.56
F0001033 930618/2100  0.6778  733.42 2791.16    4.51    0.28   13.45    5.88  303.82
F0001034 930618/2100  0.6806  723.39 2902.68    3.78    0.12   16.07    5.35  300.53
F0001035 930618/2100  0.6833  709.08 3064.36    2.62   -0.89   15.19    4.94  310.12
F0001036 930618/2100  0.6861  705.17 3111.89    2.11   -1.29   15.19    4.76  304.54
F0001037 930618/2100  0.6889  703.25 3133.18    1.90   -1.39   15.39    4.60  303.42
F0001038 930618/2100  0.6917  697.94 3194.09    1.49   -1.93   15.20    4.37  304.30
F0001039 930618/2100  0.6944  688.18 3308.12    0.80   -3.28   15.48    3.98  310.44
F0001040 930618/2100  0.6972  679.80 3407.90    0.08   -3.54   15.31    3.91  312.39
F0001041 930618/2100  0.7000  675.92 3453.54   -0.37   -3.39   16.08    3.80  305.37
F0001042 930618/2100  0.7028  671.19 3509.35   -0.86   -3.52   15.19    3.74  300.60
F0001043 930618/2100  0.7056  664.28 3588.81   -1.42   -3.82   14.15    3.52  301.51
F0001044 930618/2100  0.7083  657.93 3664.58   -1.60   -4.96   14.96    1.65  290.40
F0001045 930618/2100  0.7111  653.29 3723.03   -2.09   -5.56    8.94    0.75  256.17
F0001046 930618/2100  0.7139  654.29 3711.18   -2.02   -5.58   15.11    1.08  267.89
F0001047 930618/2100  0.7167  653.85 3716.14   -1.86   -6.04   15.19    0.80  250.62
F0001048 930618/2100  0.7194  655.41 3699.25   -1.84   -5.48    9.58    1.21  260.25
F0001049 930618/2100  0.7222  660.61 3641.54   -1.28   -5.35   11.38    1.52  278.10
F0001050 930618/2100  0.7250  666.33 3574.08   -0.92   -5.22    5.29    3.38  303.38
F0001051 930618/2100  0.7278  671.56 3513.32   -0.64   -4.03    3.09    3.96  300.65
F0001052 930618/2100  0.7306  676.38 3454.42   -0.22   -3.83    2.85    4.23  299.15
F0001053 930618/2100  0.7333  680.86 3400.54    0.31   -3.76    2.71    4.37  299.12
F0001054 930618/2100  0.7361  685.34 3348.34    0.67   -3.43    2.43    4.60  303.30
F0001055 930618/2100  0.7389  690.76 3283.18    1.23   -3.37    2.40    4.67  305.53
F0001056 930618/2100  0.7417  696.10 3220.63    1.70   -3.10    2.56    4.72  302.32
F0001057 930618/2100  0.7444  700.22 3172.49    2.02   -3.01    2.45    5.21  304.24
F0001058 930618/2100  0.7472  703.87 3131.13    2.31   -3.21    2.48    5.23  303.13
F0001059 930618/2100  0.7500  708.07 3081.68    2.72   -3.79    2.41    5.11  302.76
F0001060 930618/2100  0.7528  713.16 3023.68    3.19   -3.26    2.43    5.09  303.48
F0001061 930618/2100  0.7556  718.36 2963.94    3.63   -2.05    2.90    5.22  298.20
F0001062 930618/2100  0.7583  723.16 2909.49    4.07   -2.05    6.49    5.14  297.01
F0001063 930618/2100  0.7611  727.26 2862.20    4.26   -0.91    1.94    5.87  292.19
F0001064 930618/2100  0.7639  731.27 2818.65    4.51   -0.05    6.18    6.24  287.74
F0001065 930618/2100  0.7667  735.18 2774.23    4.78   -0.03   10.22    6.28  294.08
F0001066 930618/2100  0.7694  739.44 2728.96    5.06    0.37    8.70    6.12  291.28
F0001067 930618/2100  0.7722  744.40 2674.23    5.37    0.75   11.46    6.94  296.04
F0001068 930618/2100  0.7750  749.86 2613.86    5.82    1.45    8.29    6.85  296.61
F0001069 930618/2100  0.7778  755.30 2555.11    6.20    1.61    6.50    7.24  295.19
F0001070 930618/2100  0.7806  760.75 2495.98    6.61    1.84    7.99    7.77  292.39
F0001071 930618/2100  0.7833  765.31 2448.31    6.99    2.04   15.66    7.98  293.28
F0001072 930618/2100  0.7861  769.30 2404.84    7.25    2.21    2.64    8.32  294.71
F0001073 930618/2100  0.7889  773.28 2361.71    7.58    2.25    2.20    8.27  295.56
F0001074 930618/2100  0.7917  777.63 2315.38    7.93    2.21    4.52    8.21  295.52
F0001075 930618/2100  0.7944  782.54 2262.74    8.29    1.76    2.60    8.41  295.23
F0001076 930618/2100  0.7972  787.89 2206.39    8.62    0.30    3.40    9.05  294.03
F0001077 930618/2100  0.8000  793.48 2146.65    9.37   -3.24    2.11    8.23  296.03
F0001078 930618/2100  0.8028  798.93 2090.60    9.54   -6.37    2.70    7.04  300.92
F0001079 930618/2100  0.8056  804.37 2036.43   10.16   -6.80    2.43    7.01  303.81
F0001080 930618/2100  0.8083  809.31 1986.36   10.28   -8.49    1.91    6.46  298.27
F0001081 930618/2100  0.8111  814.02 1937.36   10.47   -9.40    2.71    6.62  295.78
F0001082 930618/2100  0.8139  818.42 1892.35   10.25   -8.28    2.98    6.02  297.71
F0001083 930618/2100  0.8167  822.53 1850.38    4.11   -0.32    3.46    3.24  318.44
F0001084 930618/2100  0.8194  827.45 1801.12    3.88    6.50    7.85    3.91  331.23
F0001085 930618/2100  0.8222  832.76 1747.54    4.15    2.94   14.31    3.72  330.13
F0001086 930618/2100  0.8250  837.87 1699.22    4.44    3.59   15.98    3.78  345.47
F0001087 930618/2100  0.8278  842.91 1651.00    4.86    3.42   16.32    3.72  341.06
F0001088 930618/2100  0.8306  847.90 1601.30    5.27    3.49   16.28    3.54  341.41
F0001089 930618/2100  0.8333  853.56 1547.53    5.73    3.70   16.49    3.05  350.52
F0001090 930618/2100  0.8361  859.22 1493.39    6.31    3.92   16.08    2.83  350.05
F0001091 930618/2100  0.8389  865.27 1432.91    6.81    4.39   17.10    3.44  352.85
F0001092 930618/2100  0.8417  871.67 1373.19    7.39    4.31   16.71    3.57  351.89
F0001093 930618/2100  0.8444  878.27 1310.82    8.03    4.31   16.39    3.80  348.39
F0001094 930618/2100  0.8472  884.33 1253.53    8.48    4.57   16.98    3.35  358.24
F0001095 930618/2100  0.8500  888.70 1214.16    8.82    4.72   16.97    4.03  350.91
F0001096 930618/2100  0.8528  892.97 1174.54    8.82    5.78   16.82    3.91  350.71
F0001097 930618/2100  0.8556  898.05 1126.14    9.33    6.66   16.86    4.08  349.60
F0001098 930618/2100  0.8583  904.54 1066.76    9.51    6.90   15.58    4.19  345.87
F0001099 930618/2100  0.8611  911.83 1000.05    9.84    7.09   17.04    3.64  341.43
F0001100 930618/2100  0.8639  919.07  934.86   10.39    7.30   17.04    4.33  341.23
F0001101 930618/2100  0.8667  924.56  886.12   10.89    7.30   17.10    4.21  335.73
F0001102 930618/2100  0.8694  929.75  840.91   11.10    7.47   17.28    4.20  342.49
F0001103 930618/2100  0.8722  933.35  805.59   11.44    7.87   17.24    4.29  343.46
F0001104 930618/2100  0.8750  937.97  764.41   11.60    8.84   17.13    4.02  343.92
F0001105 930618/2100  0.8778  943.73  711.62   11.93    8.93   17.32    4.52  342.35
F0001106 930618/2100  0.8806  950.12  654.80   12.43    9.18   17.30    4.41  343.53
F0001107 930618/2100  0.8833  956.81  599.12   12.80    8.95   17.42    3.86  350.39
F0001108 930618/2100  0.8861  963.49  540.17   13.15    9.86   17.58    3.88  358.34
F0001109 930618/2100  0.8889  970.01  483.28   13.51   12.00   17.75    4.30    0.14
F0001110 930618/2100  0.8917  976.37  428.11   13.90   11.06   17.76    4.44    2.21
F0001111 930618/2100  0.8944  982.21  376.50   14.16   12.19   17.80    4.23    0.20
F0001112 930618/2100  0.8972  987.95  326.24   14.77   12.13   17.64    4.47  353.89
F0001113 930618/2100  0.9000  992.29  288.51   15.16   12.00   17.72    4.18    1.15
F0001114 930618/2100  0.9028  996.49  251.52   15.45   12.25   17.87    4.54    1.54
F0001115 930618/2100  0.9056  999.87  220.61   15.74   12.38   17.65    4.63  351.20
F0001116 930618/2100  0.9083 1003.48  190.14   16.03   12.40   17.36    4.34    0.12
F0001117 930618/2100  0.9111 1006.18  166.36   16.23   12.35   17.53    4.91  354.40
F0001118 930618/2100  0.9139 1005.78  168.16   16.20   12.63   17.45    4.11  351.54
F0001119 930618/2100  0.9167 1006.59  161.59   16.20   12.63   17.41    5.09  350.09
F0001120 930618/2100  0.9194 1007.01  157.54   16.29   12.47   17.53    4.04  357.90
F0001121 930618/2100  0.9222 1006.16  165.20   16.25   12.06   17.67    4.36  357.79
F0001122 930618/2100  0.9250 1005.82  167.91   16.14   12.71   17.50    4.95  350.51
F0001123 930618/2100  0.9278 1006.15  164.94   16.15   12.82   17.71    3.79  358.54
F0001124 930618/2100  0.9306 1008.02  149.79   16.29   12.79   17.45    3.37  359.35
F0001125 930618/2100  0.9333 1007.39  153.76   16.24   12.57   17.30    3.70    2.47
F0001126 930618/2100  0.9361 1007.16  156.58   16.26   12.57   17.32    3.67    5.81
F0001127 930618/2100  0.9389 1007.33  156.04   16.24   12.50   17.26    3.68    9.68
F0001128 930618/2100  0.9417 1006.80  158.79   16.20   11.95   17.20    4.05   10.91
F0001129 930618/2100  0.9444 1005.66  168.13   16.17   12.98   17.64    3.90   16.98
F0001130 930618/2100  0.9472 1005.14  173.78   16.00   12.56   17.32    4.09   17.74
F0001131 930618/2100  0.9500 1005.87  167.65   16.07   12.60   17.43    4.23   21.42
F0001132 930618/2100  0.9528 1006.16  164.74   16.15   12.43   17.47    4.01   11.55
F0001133 930618/2100  0.9556 1006.08  166.10   16.18   12.34   17.39    4.19   14.65
F0001134 930618/2100  0.9583 1005.90  168.14   16.05   12.58   17.52    3.77   13.54
F0001135 930618/2100  0.9611 1006.04  167.16   16.05   12.44   17.66    4.10    9.76
F0001136 930618/2100  0.9639 1006.64  161.67   16.10   11.96   17.70    3.78   17.31
F0001137 930618/2100  0.9667 1006.78  160.26   16.13   12.53   17.56    3.28   14.31
F0001138 930618/2100  0.9694 1006.75  160.64   16.17   12.11   17.66    3.53   13.99
F0001139 930618/2100  0.9722 1007.18  157.41   16.20   12.41   17.76    3.97   10.01
F0001140 930618/2100  0.9750 1007.32  155.79   16.18   12.43   17.74    3.97   12.23
F0001141 930618/2100  0.9778 1007.37  155.02   16.15   12.13   17.74    3.98   20.33
F0001142 930618/2100  0.9806 1007.11  156.91   16.16   12.33   17.61    4.16   18.03
F0001143 930618/2100  0.9833 1006.99  158.19   16.22   12.45   17.71    3.72   26.18
F0001144 930618/2100  0.9861 1007.05  158.24   16.19   12.09   17.55    3.39   23.90
F0001145 930618/2100  0.9889 1007.12  157.08   16.15   12.60   17.54    3.61   28.57
F0001146 930618/2100  0.9917 1006.85  159.58   16.14   12.79   17.64    3.48   23.69
F0001147 930618/2100  0.9944 1006.64  161.26   16.22   12.75   17.80    3.84   24.04
F0001148 930618/2100  0.9972 1006.71  161.31   16.14   12.46   17.75    3.36   29.16
F0001149 930618/2100  1.0000 1006.70  161.37   16.19   12.49   17.80    3.90   21.33
F0001150 930618/2100  1.0028 1006.67  161.43   16.14   12.68   17.65    3.57   22.21
F0001151 930618/2100  1.0056 1006.47  162.85   16.13   12.61   17.78    2.94   33.87
F0001152 930618/2100  1.0083 1006.73  161.34   16.24   12.70   17.87    2.97   33.01
F0001153 930618/2100  1.0111 1007.06  158.33   16.27   11.83   17.81    3.66   28.54
F0001154 930618/2100  1.0139 1006.77  160.70   16.25   12.42   17.86    3.44   36.37
F0001155 930618/2100  1.0167 1006.38  163.69   16.35   12.12   17.52    3.19   30.30
F0001156 930618/2100  1.0194 1006.08  166.85   16.19   12.47   17.81    3.63   34.35
F0001157 930618/2100  1.0222 1006.18  165.53   16.19   12.63   17.92    3.68   35.74
F0001158 930618/2100  1.0250 1006.40  164.95   16.19   12.68   17.59    3.61   27.97
F0001159 930618/2100  1.0278 1006.49  163.34   16.28   12.80   17.63    3.71   29.27
F0001160 930618/2100  1.0306 1006.40  164.72   16.25   12.53   17.43    3.73   32.65
F0001161 930618/2100  1.0333 1006.60  162.93   16.27   12.63   17.61    3.45   36.41
F0001162 930618/2100  1.0361 1006.52  163.01   16.28   12.55   17.80    3.52   33.44
F0001163 930618/2100  1.0389 1006.33  164.96   16.29   11.97   17.90    3.81   40.38
F0001164 930618/2100  1.0417 1006.16  165.84   16.35   12.31   17.91    3.76   41.70
F0001165 930618/2100  1.0444 1006.24  165.64   16.32   11.96   18.13    3.56   35.88
F0001166 930618/2100  1.0472 1006.25  166.05   16.33   12.11   18.05    3.43   40.79
F0001167 930618/2100  1.0500 1006.34  164.76   16.34   11.74   17.93    3.77   36.19
F0001168 930618/2100  1.0528 1006.20  166.27   16.29   12.04   17.97    3.52   37.75
F0001169 930618/2100  1.0556 1006.41  164.41   16.33   12.03   18.01    3.78   44.58
F0001170 930618/2100  1.0583 1006.85  160.55   16.37   12.05   17.97    3.42   45.40
F0001171 930618/2100  1.0611 1006.89  160.72   16.41   12.46   17.71    3.61   45.77
F0001172 930618/2100  1.0639 1006.44  162.84   16.32   12.23   17.79    3.92   39.99
F0001173 930618/2100  1.0667 1006.55  162.69   16.47   12.52   17.79    3.78   47.52
F0001174 930618/2100  1.0694 1006.31  164.91   16.35   12.55   17.98    4.07   40.92
F0001175 930618/2100  1.0722 1006.37  164.99   16.34   12.40   18.12    3.75   41.91
F0001176 930618/2100  1.0750 1006.63  162.65   16.31   12.58   17.98    3.88   34.49
F0001177 930618/2100  1.0778 1006.26  165.64   16.34   12.25   17.86    4.51   32.76
F0001178 930618/2100  1.0806 1006.41  164.33   16.36   11.42   18.02    4.33   43.00
F0001179 930618/2100  1.0833 1006.53  163.34   16.37   12.20   17.99    4.32   38.77
F0001180 930618/2100  1.0861 1006.46  164.21   16.45   12.16   17.99    3.97   39.62
F0001181 930618/2100  1.0889 1006.23  165.33   16.40   12.26   18.13    4.58   42.09
F0001182 930618/2100  1.0917 1006.56  163.00   16.41   12.39   18.02    4.33   39.86
F0001183 930618/2100  1.0944 1006.50  163.59   16.39   12.11   17.78    4.39   39.17
F0001184 930618/2100  1.0972 1006.25  165.46   16.40   12.17   17.98    4.57   32.94
F0001185 930618/2100  1.1000 1006.21  166.06   16.42   12.49   18.03    4.39   30.27
F0001186 930618/2100  1.1028 1006.19  165.73   16.44   11.79   18.00    4.12   41.77
F0001187 930618/2100  1.1056 1006.29  165.90   16.49   12.52   18.12    4.34   39.18
F0001188 930618/2100  1.1083 1006.43  163.77   16.40   12.36   18.12    4.52   40.58
F0001189 930618/2100  1.1111 1008.10  151.07   16.58   12.30   18.30    4.92   41.44
F0001190 930618/2100  1.1139 1007.99  151.83   16.60   12.46   18.06    5.37   41.99
F0001191 930618/2100  1.1167 1006.83  161.12   16.50   12.29   17.60    5.51   35.36
F0001192 930618/2100  1.1194 1005.83  168.35   16.43   11.99   17.68    5.14   40.78
F0001193 930618/2100  1.1222 1005.38  172.32   16.46   13.04   17.82    4.86   28.79
