
 GRID FILE: $HDS/96040800_eta.gem                                                   

 GRID NAVIGATION: 
     PROJECTION:          LCC                 
     ANGLES:                25.0   -95.0    25.0
     GRID SIZE:           93  65
     LL CORNER:              12.19   -133.46
     UR CORNER:              57.29    -49.38

 GRID ANALYSIS BLOCK: 
      UNKNOWN ANALYSIS TYPE 

 Number of grids in file:  1392

 Maximum number of grids in file:   1500

  NUM       TIME1              TIME2           LEVL1 LEVL2  VCORD PARM
    1     960408/0000F000                          0  10000  SGMA PWTR        
    2     960408/0000F000                       9700  9900   SGMA LIFT        
    3     960408/0000F000                       9700  10000  SGMA TMPK        
    4     960408/0000F000                       9700  10000  SGMA RELH        
    5     960408/0000F000                       9700  10000  SGMA UREL        
    6     960408/0000F000                       9700  10000  SGMA VREL        
    7     960408/0000F000                       9400  9700   SGMA TMPK        
    8     960408/0000F000                       9400  9700   SGMA RELH        
    9     960408/0000F000                       9400  9700   SGMA UREL        
   10     960408/0000F000                       9400  9700   SGMA VREL        
   11     960408/0000F000                       9100  9400   SGMA TMPK        
   12     960408/0000F000                       9100  9400   SGMA RELH        
   13     960408/0000F000                       9100  9400   SGMA UREL        
   14     960408/0000F000                       9100  9400   SGMA VREL        
  108     960408/0000F000                        450         PRES TMPK        
  109     960408/0000F000                        450         PRES UREL        
  110     960408/0000F000                        450         PRES VREL        
  111     960408/0000F000                        450         PRES RELH        
  112     960408/0000F000                        400         PRES OMEGA       
  113     960408/0000F000                        400         PRES HGHT        
  114     960408/0000F000                        400         PRES TMPK        
  115     960408/0000F000                        400         PRES UREL        
  116     960408/0000F000                        400         PRES VREL        
  117     960408/0000F000                        400         PRES RELH        
  118     960408/0000F000                        350         PRES OMEGA       
  119     960408/0000F000                        350         PRES HGHT        
  120     960408/0000F000                        350         PRES TMPK        
  121     960408/0000F000                        350         PRES UREL        
  122     960408/0000F000                        350         PRES VREL        
  123     960408/0000F000                        350         PRES RELH        
  124     960408/0000F000                        300         PRES OMEGA       
  125     960408/0000F000                        300         PRES HGHT        
  126     960408/0000F000                        300         PRES TMPK        
  127     960408/0000F000                        300         PRES UREL        
  128     960408/0000F000                        300         PRES VREL        
  129     960408/0000F000                        300         PRES RELH        
  130     960408/0000F000                        250         PRES OMEGA       
  131     960408/0000F000                        250         PRES HGHT        
  132     960408/0000F000                        250         PRES TMPK        
  133     960408/0000F000                        250         PRES UREL        
  134     960408/0000F000                        250         PRES VREL        
  135     960408/0000F000                        250         PRES RELH        
  136     960408/0000F000                        250         PRES AVOR        
  137     960408/0000F000                        200         PRES OMEGA       
  138     960408/0000F000                        200         PRES HGHT        
  139     960408/0000F000                        200         PRES TMPK        
  140     960408/0000F000                        200         PRES UREL        
  141     960408/0000F000                        200         PRES VREL        
  142     960408/0000F000                        200         PRES RELH        
